boletin,fecha_publicacion,fecha_firma,tipo,numero,objeto,terminos_urbanismo,monto_max,tags,texto_bajado,pdf
1141,2024-03-05,2024-02-20,Decreto,DECRE-2024-149-SI-INTEN,"Expte. Nº 12627/2023-Autorizar a las firmas SALTO 91 S.A. y MERCOSUR S.A., a la regularización, modificación int., demolición parcial y subdivisión de las u.f. en el inmueble con frente a la calle Agustin Mazza Nº 2312/2400-Boulogne.",factibilidad | mayor altura/FOT/FOS | zonificación/C.O.U.,,Factibilidad,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1712248708.pdf
1141,2024-03-05,2024-02-20,Decreto,DECRE-2024-145-SI-INTEN,"Expte. Nº 1433/2019.- Autorizar una prórroga para la obtención del plano de modificaciones internas y cambio de uso con destino “OFICINAS”, en el inmueble ubicado con frente a la calle Edison N° 1191, de la ciudad de Martínez.-",zonificación/C.O.U.,,Tareas especiales | Recursos Humanos,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1712248636.pdf
1141,2024-03-05,2024-02-21,Decreto,DECRE-2024-155-SI-INTEN,"Expte. Nº 14444/2023.- Autorizar la realización de modificaciones internas en la construcción existente con destino “Local Comercial y Oficinas”, en el inmueble ubicado en la calle José María Moreno N° 1729, Villa Adelina.-",factibilidad | mayor altura/FOT/FOS | zonificación/C.O.U.,,Factibilidad,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1712248959.pdf
1142,2024-04-03,2024-02-26,Resolución firma conjunta,RESFC-2024-2-SI-SECPDU,Expediente N°1165/2024 – Resolución de Otorgamiento de Permiso de Localización a la Fundación “Sueños Pendientes”,permiso de localización,,Permiso | Localización,no,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711464522.pdf
1141,2024-03-05,2024-02-28,Decreto,DECRE-2024-180-SI-INTEN,"Expediente N° 1790-2024 - Autorizar a la firma CENCOSUD S.A., en su carácter de Propietario, la conformación de las terrazas existentes en el Centro Comercial “Unicenter”, como superficie cubierta y/o semicubierta.",factibilidad | mayor altura/FOT/FOS | zonificación/C.O.U.,,Factibilidad,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1712250531.pdf
1141,2024-03-05,2024-02-29,Decreto,DECRE-2024-184-SI-INTEN,"Expediente N° 7502-2023 - Autorizar al Sr. Luis Jorge Maniscalco, en su carácter de propietario, a la regularización y ampliación de la vivienda unifamiliar.",factibilidad | mayor altura/FOT/FOS | zonificación/C.O.U.,,Factibilidad,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1712250638.pdf
1142,2024-04-03,2024-03-06,Decreto,DECRE-2024-206-SI-INTEN,Expediente Nº 1790-2024 - Rectificar el artículo 2º del Decreto Nº 180/2024.,mayor altura/FOT/FOS | zonificación/C.O.U.,,Rectificar,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711381642.pdf
1143,2024-04-04,2024-03-22,Decreto,DECRE-2024-274-SI-INTEN,Expediente N° 13511-2023 - Rectificar el punto A3 del artículo 2° del Decreto N° 71/2024.,zonificación/C.O.U.,,Rectificación Decreto de Autorización Construcción,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1712236186.pdf
1143,2024-04-04,2024-03-22,Decreto,DECRE-2024-273-SI-INTEN,"Expediente N° 13492-2023 - Autorizar la construcción del “Conjunto de Viviendas Unifamiliares Agrupadas”, en el inmueble ubicado en la calle Santa Rita N° 1035 de la ciudad de Boulogne, jurisdicción de este Partido.",factibilidad | mayor altura/FOT/FOS | zonificación/C.O.U.,,Autorización Construcción | Conjunto de Viviendas Unifamiliares Agrupadas,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1712236109.pdf
1143,2024-04-04,2024-03-22,Resolución firma conjunta,RESFC-2024-42-SI-SECPDU,"Expediente N° 13408/2023 - Resolución de Otorgamiento de Permiso de Localización en el inmueble ubicado con frente a la calle Acassuso N° 363/65/67, San Isidro.",permiso de localización,,Permiso de Localización,no,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1712171397.pdf
1143,2024-04-04,2024-03-22,Resolución firma conjunta,RESFC-2024-41-SI-SECPDU,"Expediente N°15405/2023 - Resolución de Otorgamiento de Permiso de Localización del inmueble ubicado con frente a la calle Av. Santa Fe Nº 1193, Martinez.",permiso de localización,,Permiso de Localización,no,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1712171371.pdf
1143,2024-04-04,2024-03-26,Resolución firma conjunta,RESFC-2024-45-SI-SECPDU,"Expediente N° 1370/2024 - Resolución de Otorgamiento de Permiso de Localización en el inmueble ubicado con frente a la calle Av. Santa Fe N° 694, Acasusso",permiso de localización,,Permiso | Localización,no,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1712587926.pdf
1143,2024-04-04,2024-03-26,Resolución firma conjunta,RESFC-2024-44-SI-SECPDU,"Expediente N°14368/2023 - Resolución de Otorgamiento de Permiso de Localización del inmueble ubicado con frente a la calle Godoy Cruz N° 1665, Boulogne",permiso de localización,,Permiso | Localización,no,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1712587804.pdf
1143,2024-04-04,2024-03-26,Resolución firma conjunta,RESFC-2024-43-SI-SECPDU,"Expediente N° 12325/2023 - Resolución de Otorgamiento de Permiso de Localización al inmueble ubicado con frente a la calle Av. Fondo de La Legua N° 2779, Martínez.",permiso de localización,,Permiso | Localización,no,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1712587765.pdf
1143,2024-04-04,2024-03-27,Decreto,DECRE-2024-295-SI-INTEN,"Expedientes N° 1803/2020 y N° 9750/2020 - Modificar el Decreto N° 1069 de fecha 8 de julio del 2020 en su artículo 2°, puntos A1 y A5.",factibilidad | mayor altura/FOT/FOS | zonificación/C.O.U.,,Modificar | Factibilidad,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1712583818.pdf
1144,2024-04-18,2024-04-03,Resolución firma conjunta,RESFC-2024-51-SI-SECPDU,"Expediente N° 15171/2018 - Resolución de Otorgamiento de Permiso de Localización en el inmueble ubicado con frente a la calle Av. Sucre N° 2359, Beccar",permiso de localización,,Permiso de Localización,no,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1713446441.pdf
1144,2024-04-18,2024-04-10,Decreto,DECRE-2024-335-SI-INTEN,Expediente N° 4073-2024 - Delegación de facultades en la Subsecretaría Legal y Técnica.,excepción,,Delegación facultades,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1713454146.pdf
1279,2024-04-30,2024-04-16,Resolución firma conjunta,RESFC-2024-63-SI-SECPDU,Expediente N°12467/2023 - Resolución de Otorgamiento de Permiso de Localización – “Fundación Sagrada Familia ”,permiso de localización,,Permiso de Localización,no,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714496029.pdf
1279,2024-04-30,2024-04-17,Decreto,DECRE-2024-369-SI-INTEN,"Expte. N° 15778/2023.- Hacer saber a BRADSTOCK PROPERTIES S.A. que se autoriza la construcción de un proyecto con destino “Vivienda Unifamiliar Agrupada” en las calles Prilidiano Pueyrredón N° 984, Pasaje Rafael y Paraná, Martínez, San Isidro.-",factibilidad | mayor altura/FOT/FOS | zonificación/C.O.U.,,Autorización construcción,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714497280.pdf
1279,2024-04-30,2024-04-18,Resolución firma conjunta,RESFC-2024-64-SI-SECPDU,"Expediente N° 15929/2023 - Resolución de Otorgamiento de Permiso de Localización en el inmueble ubicado con frente a la calle Av. Del Libertador N° 18194, Beccar.",permiso de localización,,Permiso de Localización,no,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714497667.pdf
1279,2024-04-30,2024-04-23,Decreto,DECRE-2024-406-SI-INTEN,"Expediente Nº 4528-2019 - Eximir a la Sra. María del Carmen Ortega del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un veinticinco por ciento (25%), respecto a la cuenta tributaria N° 216.865, para el período 2024.",excepción,,Eximición Tasa A.L. y S.G. 25%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714505059.pdf
1279,2024-04-30,2024-04-23,Decreto,DECRE-2024-405-SI-INTEN,"Expediente Nº 9736-2022 - Eximir al Sr. Rubén Hugo Díaz del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cincuenta por ciento (50%), respecto a la cuenta tributaria N° 530.368, para el período fiscal 2024.",excepción,,Eximición Tasa A.L. y S.G.,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714505028.pdf
1279,2024-04-30,2024-04-23,Decreto,DECRE-2024-404-SI-INTEN,"Expediente N° 15414-2001 (Cuerpo 2) - Eximir a María del Carmen Silvestre del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cincuenta por ciento (50%), respecto a la cuenta tributaria N° 410.889, para el período fiscal 2024.",excepción,,Eximición Tasa A.L. y S.G. 50%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714504984.pdf
1279,2024-04-30,2024-04-23,Decreto,DECRE-2024-403-SI-INTEN,"Expediente Nº 5597-2014 - Eximir a la Sra. Marta María Quijano del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cincuenta por ciento (50%), respecto a la cuenta tributaria N° 221.698, para el período fiscal 2024.",excepción,,Eximición Tasa A.L. y S.G. 50%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714503467.pdf
1279,2024-04-30,2024-04-23,Decreto,DECRE-2024-402-SI-INTEN,"Expediente Nº 11627-2007 - Eximir a la Sra. Fermina Velázquez Patiño del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cincuenta por ciento (50%), respecto a la cuenta tributaria N° 533.252, para el período fiscal 2024.",excepción,,Eximición Tasa A.L. y S.G. 50%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714503437.pdf
1279,2024-04-30,2024-04-23,Decreto,DECRE-2024-401-SI-INTEN,"Expediente Nº 7192-2023 - Eximir a la Sra. Elsa Reyes Cantero del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 532.268, para el período 2024.",excepción,,Eximición Tasa A.L. y S.G. 100%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714503407.pdf
1279,2024-04-30,2024-04-23,Decreto,DECRE-2024-400-SI-INTEN,"Expediente Nº 2552-2018 - Eximir al Sr. Antonio Jorge Vetere del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cincuenta por ciento (50%), respecto a la cuenta tributaria N° 640.613, para el período fiscal 2024.",excepción,,Eximición Tasa A.L. y S.G. 50%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714503374.pdf
1279,2024-04-30,2024-04-23,Decreto,DECRE-2024-399-SI-INTEN,"Expediente Nº 142-2024 - Eximir a la Sra. Ana Isabel Schinkel del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 363.094, para el período fiscal 2024.",excepción,,Eximición Tasa A.L. y S.G. 100%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714503339.pdf
1279,2024-04-30,2024-04-23,Decreto,DECRE-2024-398-SI-INTEN,"Expediente Nº 9735-2008 (Cuerpo 2) - Eximir a la Sra. María Taragan del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cincuenta por ciento (50%), respecto a la cuenta tributaria N° 521.270, para el período fiscal 2024.",excepción,,Eximición Tasa A.L. y S.G. 50%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714503301.pdf
1279,2024-04-30,2024-04-23,Decreto,DECRE-2024-397-SI-INTEN,"Expediente Nº 1227-2020 - Eximir a Cristina Noemí Loujedo del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 440.687, para los períodos fiscales 2021, 2022, 2023 y 2024.",excepción,,Eximición Tasa A.L. y S.G. 100%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714503260.pdf
1279,2024-04-30,2024-04-23,Decreto,DECRE-2024-396-SI-INTEN,"Expediente Nº 2144-2017 - Eximir a la Sra. Teresa Pace del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cincuenta por ciento (50%), respecto a la cuenta tributaria N° 361.384, para el período fiscal 2024.",excepción,,Eximición Tasa A.L. y S.G. 50%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714503225.pdf
1279,2024-04-30,2024-04-23,Decreto,DECRE-2024-395-SI-INTEN,"Expediente Nº 1776-2017 - Eximir a la Sra. Irma Haydee Console del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cincuenta por ciento (50%), respecto a la cuenta tributaria N° 820.665, para el período fiscal 2024.",excepción,,Eximición Tasa A.L. y S.G. 50%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714503189.pdf
1279,2024-04-30,2024-04-23,Decreto,DECRE-2024-394-SI-INTEN,"Expediente Nº 4725-2023 - Eximir a la Sra. Mirta Susana Galván del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un veinticinco por ciento (25%), respecto a la cuenta tributaria N° 220.250, para el período fiscal 2024.",excepción,,Eximición Tasa A.L. y S.G. 25%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714503152.pdf
1279,2024-04-30,2024-04-23,Decreto,DECRE-2024-393-SI-INTEN,"Expediente Nº 9611-2023 - Eximir a la Sra. Mirta Rosa Necco del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un veinticinco por ciento (25%), respecto a la cuenta tributaria N° 382.011, para el período fiscal 2024.",excepción,,Eximición Tasa A.L. y S.G. 25%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714503108.pdf
1279,2024-04-30,2024-04-23,Decreto,DECRE-2024-392-SI-INTEN,"Expediente Nº 1419-2015 - Eximir al Sr. Pedro Claver Espínola Acosta del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 712.967, para el período 2024.",excepción,,Eximición Tasa A.L. y S.G. 100%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714502999.pdf
1279,2024-04-30,2024-04-23,Decreto,DECRE-2024-391-SI-INTEN,"Expediente Nº 5673-2012 - Eximir a la Sra. María Angélica Peña del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un veinticinco por ciento (25%), respecto a la cuenta tributaria N° 660.282, para los períodos fiscales 2023 y 2024.",excepción,,Eximición Tasa A.L. y S.G. 25%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714502739.pdf
1279,2024-04-30,2024-04-23,Decreto,DECRE-2024-390-SI-INTEN,"Expediente Nº 7650-2003 (Cuerpo 2) - Eximir al Sr. José Sánchez del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un veinticinco por ciento (25%), respecto a la cuenta tributaria N° 372.909, para el período fiscal 2024.",excepción,,Eximición Tasa A.L. y S.G. 25%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714502466.pdf
1279,2024-04-30,2024-04-23,Decreto,DECRE-2024-389-SI-INTEN,"Expte. Nº 11156/2001- Eximir del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un veinticinco por ciento (25%) respecto a la cuenta tributaria N° 390.942.-",excepción,,Eximición Tasa A.L. y S.G. 25%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714502279.pdf
1279,2024-04-30,2024-04-24,Decreto,DECRE-2024-435-SI-INTEN,"Expediente Nº 1151-2014 - Eximir al Sr. Humberto Juan Cozenza del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 760.254, para el período fiscal 2024.",excepción,,Eximición Tasa A.L. y S.G. 100%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714506384.pdf
1279,2024-04-30,2024-04-24,Decreto,DECRE-2024-434-SI-INTEN,"Expediente Nº 10108-2015 - Eximir a la Sra. Rosa Ramona Olivera del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 217.462, para el período fiscal 2024.",excepción,,Eximición Tasa A.L. y S.G. 100%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714506347.pdf
1279,2024-04-30,2024-04-24,Decreto,DECRE-2024-433-SI-INTEN,"Expediente Nº 1869-2003 - Eximir a la Sra. Nelly Beatriz Salcedo del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la Cuenta N° 842.616, para los períodos fiscales 2023 y 2024.",excepción,,Eximición Tasa A.L. y S.G.,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714506303.pdf
1279,2024-04-30,2024-04-24,Decreto,DECRE-2024-432-SI-INTEN,"Expediente Nº 1473-007 (Cuerpo 2) - Eximir a la Sra. Juana Scollo del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 570.561, para el período fiscal 2024.",excepción,,Eximición Tasa A.L. y S.G. 100%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714506262.pdf
1279,2024-04-30,2024-04-24,Decreto,DECRE-2024-431-SI-INTEN,"Expediente Nº 8456-2019 - Eximir al Sr. Ricardo Alberto Quinteros del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 751.320, para el período fiscal 2024.",excepción,,Eximición Tasa A.L. y S.G. 100%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714506033.pdf
1279,2024-04-30,2024-04-24,Decreto,DECRE-2024-430-SI-INTEN,"Expediente Nº 13120-2005 - Eximir a la Sra. Berta María Botiglieri del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 563.251, para el período fiscal 2024.",excepción,,Eximición Tasa A.L. y S.G. 100%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714505998.pdf
1279,2024-04-30,2024-04-24,Decreto,DECRE-2024-429-SI-INTEN,"Expediente Nº 1330-2015 - Eximir a la Sra. Vilma María Gimenez del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 631.826, para el período fiscal 2024.",excepción,,Eximición Tasa A.L. y S.G. 100%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714505958.pdf
1279,2024-04-30,2024-04-24,Decreto,DECRE-2024-428-SI-INTEN,"Expediente Nº 5482-2022 - Eximir al Sr. Daniel Sergio Taracido del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 392.036, para el período fiscal 2024.",excepción,,Eximición Tasa A.L. y S.G. 100%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714505850.pdf
1279,2024-04-30,2024-04-24,Decreto,DECRE-2024-427-SI-INTEN,"Expediente Nº 8638-2009 - Eximir a la Sra. Mercedes Cristina Centeno del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cincuenta por ciento (50%), respecto a la cuenta tributaria N° 842.265, para el período fiscal 2024.",excepción,,Eximición Tasa A.L. y S.G. 50%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714505806.pdf
1279,2024-04-30,2024-04-24,Decreto,DECRE-2024-426-SI-INTEN,"Expediente Nº 11360-2015 - Eximir a la Sra. María Paz Soberón del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cincuenta por ciento (50%), respecto a la cuenta tributaria N° 530.951, para el período fiscal 2024.",excepción,,Eximición Tasa A.L. y S.G. 50%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714505767.pdf
1279,2024-04-30,2024-04-24,Decreto,DECRE-2024-425-SI-INTEN,"Expediente Nº 3996-2012 - Eximir a la Sra. Hilda Nora Landin del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cincuenta por ciento (50%), respecto a la cuenta tributaria N° 123.001, para el período fiscal 2024.",excepción,,Eximición Tasa A.L. y S.G. 50%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714505728.pdf
1279,2024-04-30,2024-04-24,Decreto,DECRE-2024-419-SI-INTEN,"Expediente Nº 683-2017 - Eximir al Sr. Germán Ariel Catarcio del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 421.415, para el período fiscal 2024.",excepción,,Eximición Tasa A.L. y S.G. 100%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714505519.pdf
1279,2024-04-30,2024-04-24,Decreto,DECRE-2024-418-SI-INTEN,"Expediente Nº 2642-2015 - Eximir a la Sra. Elsa Avelina Muro del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 632.758, para el período fiscal 2024.",excepción,,Eximición Tasa A.L. y S.G. 100%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714505488.pdf
1279,2024-04-30,2024-04-25,Decreto,DECRE-2024-471-SI-INTEN,"Expediente N° 4472-2024 - Delegar en la Jefatura de Gabinete la facultad de suscribir todo acto administrativo, providencia, informe y demás actos propios y delegados, de la Secretaría de Salud Pública.",excepción,,Delegación Firmas,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714507887.pdf
1279,2024-04-30,2024-04-25,Decreto,DECRE-2024-470-SI-INTEN,"Expediente Nº 9721-2012 - Eximir al Sr. Juan Ruperto López del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 642.524, para el período fiscal 2024.",excepción,,Eximición Tasa A.L. y S.G. 100%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714507854.pdf
1279,2024-04-30,2024-04-25,Decreto,DECRE-2024-469-SI-INTEN,"Expte. Nº 1949/2016.- Eximir a la Sra. María Inés Breton del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 356.369, para el período fiscal 2024.-",excepción,,Eximición Tasa A.L. y S.G. 100%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714507818.pdf
1279,2024-04-30,2024-04-25,Decreto,DECRE-2024-468-SI-INTEN,"Expte. Nº 11366/2004.- Eximir a la Sra. Martina González del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 731.588, para el período fiscal 2024.-",excepción,,Eximición Tasa A.L. y S.G. 100%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714507774.pdf
1279,2024-04-30,2024-04-25,Decreto,DECRE-2024-467-SI-INTEN,"Expte. Nº 3185/2006.- Eximir a la Sra. Beatriz Nélida Niño del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 211.383, para el período fiscal 2024.-",excepción,,Eximición Tasa A.L. y S.G. 100%,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714507745.pdf
