fecha_firma,fecha_pub,numero,categoria,localidad,direccion,circunscripcion,seccion,objeto,pdf
21/02/2024,05/03/2024,DECRE-2024-155-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Villa Adelina,"calle José María Moreno N° 1729, Villa Adelina",V,B,"Expte. Nº 14444/2023.- Autorizar la realización de modificaciones internas en la construcción existente con destino “Local Comercial y Oficinas”, en el inmueble ubicado en la calle José María Moreno N° 1729, Villa Adelin",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1712248959.pdf
28/02/2024,05/03/2024,DECRE-2024-180-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Martínez,,,,"Expediente N° 1790-2024 - Autorizar a la firma CENCOSUD S.A., en su carácter de Propietario, la conformación de las terrazas existentes en el Centro Comercial “Unicenter”, como superficie cubierta y/o semicubierta.",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1712250531.pdf
29/02/2024,05/03/2024,DECRE-2024-184-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Boulogne,,V,A,"Expediente N° 7502-2023 - Autorizar al Sr. Luis Jorge Maniscalco, en su carácter de propietario, a la regularización y ampliación de la vivienda unifamiliar.",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1712250638.pdf
06/03/2024,03/04/2024,DECRE-2024-206-SI-INTEN,Altura/FOT/FOS | Zonificación/C.O.U.,Martínez,,,,Expediente Nº 1790-2024 - Rectificar el artículo 2º del Decreto Nº 180/2024.,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711381642.pdf
22/03/2024,04/04/2024,DECRE-2024-274-SI-INTEN,Zonificación/C.O.U.,Martínez,"calle Tres Sargentos N° 2067 de la ciudad de Martínez, jurisdicción de este Partido",III,H,Expediente N° 13511-2023 - Rectificar el punto A3 del artículo 2° del Decreto N° 71/2024.,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1712236186.pdf
22/03/2024,04/04/2024,DECRE-2024-273-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Boulogne,"calle Santa Rita N° 1035 de la ciudad de Boulogne, jurisdicción de este Partido",VI,F,"Expediente N° 13492-2023 - Autorizar la construcción del “Conjunto de Viviendas Unifamiliares Agrupadas”, en el inmueble ubicado en la calle Santa Rita N° 1035 de la ciudad de Boulogne, jurisdicción de este Partido.",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1712236109.pdf
27/03/2024,04/04/2024,DECRE-2024-295-SI-INTEN,Altura/FOT/FOS | Zonificación/C.O.U.,Martínez,,III,F,"Expedientes N° 1803/2020 y N° 9750/2020 - Modificar el Decreto N° 1069 de fecha 8 de julio del 2020 en su artículo 2°, puntos A1 y A5.",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1712583818.pdf
17/04/2024,30/04/2024,DECRE-2024-369-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Martínez,,III,J,"Expte. N° 15778/2023.- Hacer saber a BRADSTOCK PROPERTIES S.A. que se autoriza la construcción de un proyecto con destino “Vivienda Unifamiliar Agrupada” en las calles Prilidiano Pueyrredón N° 984, Pasaje Rafael y Paraná",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1714497280.pdf
02/05/2024,17/05/2024,DECRE-2024-516-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,San Isidro,,VII,C,Expte. Nº 426-2024- Autorizar al Sr. Agustín José Oscar Furlanetto la construcción de un “Garage de Uso Particular” y “Vivienda Unifamiliar” en el inmueble ubicado con frente a la calle O’Higgins Nº 1541 de la ciudad de ,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1715971289.pdf
07/06/2024,24/06/2024,DECRE-2024-659-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Boulogne,"calle José María Moreno Nº 365 de la ciudad de Boulogne, jurisdicción de este Partido",V,A,"Expte. N° 2836-2012.- Modificar el artículo 2º, Punto A4 del Decreto Nº 981 de fecha 23 de abril de 2012.-",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1719242675.pdf
07/06/2024,24/06/2024,DECRE-2024-653-SI-INTEN,Factibilidad | Permiso de Localización | Altura/FOT/FOS | Zonificación/C.O.U.,Acassuso,Avenida Santa Fe N° 300 esquina Mármol Nº 20/24 de la localidad de Acassuso,III,C,"Expediente N° 2180-2024 - Autorizar al Sr. Gastón A. Ortega, la construcción de un Proyecto de “Clínica Oftalmológica”, en el inmueble sito en la Avenida Santa Fe N° 300 esquina Mármol Nº 20/24 de la localidad de Acassus",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1719242183.pdf
16/07/2024,28/08/2024,DECRE-2024-947-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Villa Adelina,,V,G,Expediente N° 7700-2015 - Modificar el artículo 2º del Decreto Nº 244/2023 (Factibilidad) - Prorrogar por ciento ochenta (180) días adicionales el plazo de vigencia establecido en el artículo 4° del citado decreto.,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1722866450.pdf
24/09/2024,01/10/2024,DECRE-2024-1293-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,San Isidro,,I,A,Expediente N° 740/2024 - Autorizar Factibilidad: Vivienda Unifamiliar Agrupada - DON PUPE S.A. - Primera Junta Nros. 590/594/598 de la ciudad de San Isidro,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1727287334.pdf
27/09/2024,01/10/2024,DECRE-2024-1320-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Martínez,,III,B,"Expte. Nº 5775/2023 - Declárese la caducidad, en los términos del artículo 119 de la Ordenanza General N° 267, de la autorización conferida por el Artículo 1° del Decreto N° 1974/2022.-",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1727720418.pdf
27/09/2024,01/10/2024,DECRE-2024-1312-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Martínez,"Avenida Sir Alexander Fleming N° 2595, esquina Yapeyú",4,A,Expediente N° 6885/2024 - Factibilidad - SOMAFEGASE S.A. - “Viviendas Unifamiliares Agrupadas” - Avenida Sir Alexander Fleming N° 2595 (Martínez).,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1727719912.pdf
07/10/2024,21/10/2024,DECRE-2024-1363-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Beccar,calle Pampa sin Número y Luis De Flores sin Número,VIII,C,"Expediente N° 5750-2024 - Factibilidad - ZEDIL S.A. - ""Depósito y Viviendas Unifamiliares Agrupadas"" - Pampa s/n y Luis De Flores s/n (Beccar).",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1728928932.pdf
17/10/2024,21/10/2024,DECRE-2024-1446-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,San Isidro,"calle Florencio Sánchez N° 3032/34 de la ciudad de San Isidro, jurisdicción de este Partido",IV,E,Expediente N°7840/2013 - Modificar el Decreto Nº 2045/2012 (Factibilidad Florencio Sánchez N° 3032/34 de la ciudad de San Isidro. DASS ARGENTINA S.R.L.).,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1729261628.pdf
17/10/2024,21/10/2024,DECRE-2024-1444-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Martínez,,III,J,Expediente N° 15793/2022 - Factibilidad: Patricia Beatriz Stabile - “Viviendas Unifamiliares Agrupadas” - Sargento Cabral N° 2841 de la ciudad de Martínez.,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1729261706.pdf
11/11/2024,26/11/2024,DECRE-2024-1617-SI-INTEN,Factibilidad | Zonificación/C.O.U.,San Isidro,calle Adrián Beccar Varela Nros,I,A,Expediente N° 7872/2021 - Prorrogar el Decreto de Factibilidad Nº 1613/2021.,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1732045908.pdf
15/11/2024,26/11/2024,DECRE-2024-1647-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,San Isidro,,I,A,Expediente N° 9539-2024 - Factibilidad: Autorizar a la Sra. Gabriela Rosana Servidio a realizar modificaciones internas y regularización en el inmueble ubicado con frente a la Avenida del Libertador General San Martín N°,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1732105967.pdf
22/11/2024,28/11/2024,DECRE-2024-1680-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Beccar,,VII,E,"Expediente N° 14502-2023 - Factibilidad: Autorizar a Clemen Alejandra Posse, Débora Liz Posse y Marcelo D. A. Viaggio - Cancha de Paddle y Gimnasio - Avenida Sucre esquina Padre Acevedo, de la ciudad de Beccar.",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1732646169.pdf
22/11/2024,28/11/2024,DECRE-2024-1679-SI-INTEN,Factibilidad | Permiso de Localización | Altura/FOT/FOS | Zonificación/C.O.U.,Acassuso,"Avenida Santa Fe N° 300 esquina Mármol Nº 20/24 de la localidad de Acassuso, jurisdicción de este Partido",III,C,"Expediente N° 2180-2024 - Factibilidad: Autorizar al Sr. Gastón Alberto Ortega - Clínica Oftalmológica - Avenida Santa Fe N° 300 de la localidad de Acassuso, jurisdicción de este Partido.",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1732645833.pdf
02/12/2024,19/12/2024,DECRE-2024-1716-SI-INTEN,Zonificación/C.O.U.,Acassuso,Avenida Santa Fe Nº 300 esquina Mármol Nº 20/24,III,C,"Expediente Nº 2180/2024 - Modificar los Apartados A3, A6. B3 y C2 del artículo 2º del Decreto N° 653/2024 (Factiblidad).",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1733492830.pdf
02/12/2024,19/12/2024,DECRE-2024-1715-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Beccar,"calle Intendente Tomkinson N° 2147 de la ciudad de Beccar, jurisdicción de este Partido",VII,B,"Expediente Nº 13587/2024 - Modificar los Apartados A1, A3, A4, A7, A9 y B3 del artículo 2º del Decreto Nº 128/2024 (Factibilidad).",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1733492787.pdf
02/12/2024,19/12/2024,DECRE-2024-1711-SI-INTEN,Factibilidad,Acassuso,"Avenida Santa Fe N° 300 esquina Mármol Nº 20/24 de la localidad de Acassuso, jurisdicción de este Partido",III,C,Expediente Nº 2180-2024 - Anular el Decreto Nº 1679/2024 (Factibilidad).,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1733414355.pdf
11/12/2024,19/12/2024,DECRE-2024-1757-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Acassuso,Avenida del Libertador General San Martín N° 15342,III,C,"Expediente Nº 1177/2024 - Modificar el artículo 2º, apartado A4, del Decreto Nº 1139/2020 - Factibilidad.",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1734021536.pdf
23/01/2025,11/02/2025,DECRE-2025-81-SI-INTEN,Zonificación/C.O.U.,general / sin inmueble,,,,Expediente Nº 1417-2022 - Tareas Especiales - Secretaría de Planeamiento Urbano.,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1738784609.pdf
06/02/2025,20/02/2025,DECRE-2025-144-SI-INTEN,Factibilidad | Permiso de Localización | Altura/FOT/FOS | Zonificación/C.O.U.,San Isidro,,I,B,"Expediente N° 10875-2024 - Factibilidad: Asociación de Empleados de Farmacia - “Sindicato con actividades complementarias como Consultorios Médicos, Reuniones, Capacitaciones”.",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1739814628.pdf
12/02/2025,20/02/2025,DECRE-2025-159-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Martínez,,III,F,Expediente N° 12478-2023 - Modificar el Decreto Nº 2048/2023 - Factibilidad.,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1739816121.pdf
17/02/2025,11/03/2025,DECRE-2025-177-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,San Isidro,calle 25 de Mayo N° 626 esquina Almirante Brown N° 490,I,B,Expediente N° 11477-2021 - Factibilidad - María Abella Nazar - Puesta en Valor y desarrollo de un Proyecto de “Viviendas Multifamiliares”.,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1740160068.pdf
28/02/2025,11/03/2025,DECRE-2025-232-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Villa Adelina,,V,B,Expediente N° 207-2025 - Factibilidad: “Canchas de Paddle” - Autorizar a los Sres. Jaime Esteban Barceló y Adrián Humberto Gaido.,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1741377491.pdf
17/03/2025,23/04/2025,DECRE-2025-292-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Boulogne,,VI,B,"Expediente Nº 12449/2024 - Consulta de Factibilidad - Círculo Médico de San Isidro - Construcción de tres (3) ""Canchas de Fútbol 5"".-",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1743540222.pdf
21/03/2025,23/04/2025,DECRE-2025-319-SI-INTEN,Factibilidad | Permiso de Localización | Altura/FOT/FOS | Zonificación/C.O.U.,San Isidro,,IV,E,"Expediente Nº 13320/2024 - Autoriza de Factibilidad ""Residencia Geriátrica"" - Tutina S.A.",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1744641844.pdf
27/03/2025,23/04/2025,DECRE-2025-346-SI-INTEN,Factibilidad,general / sin inmueble,,,,Expediente Nº 14177-2024 - Modificar el Cálculo de Recursos y Presupuesto General de Gastos - Ejercicio 2024.,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1745259702.pdf
09/04/2025,25/04/2025,DECRE-2025-383-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,San Isidro,calle Intendente Tomkinson Nº 2051,VII,B,Expediente Nº 13138/2024 - Consulta de Factibilidad calle Intendente Tomkinson Nº 2051 - Autorizar a GBD TOMKINSON S.R.L. -,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1745507563.pdf
16/04/2025,29/04/2025,DECRE-2025-405-SI-INTEN,Altura/FOT/FOS,general / sin inmueble,,,,Expediente Nº EX-2025-00039785-SI-SECAMEP - Aprobar Cantidades y Ampliar la Orden de Compra de la Licitación Pública Nº 20/2015 referente al “SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DEL ALUMBRADO PÚBLICO DEL PA,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1745611279.pdf
16/05/2025,02/06/2025,DECRE-2025-525-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,San Isidro,,IV,E,"Expediente N° 13513/2024 - Consulta de Factibilidad - Autorizar a Nortower S.A. (CUIT N° 30-60903932-5) a realizar la construcción de un “Lavadero de Autos”, en el inmueble de su propiedad ubicado con frente a la calle A",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1747920955.pdf
21/05/2025,02/06/2025,DECRE-2025-534-SI-INTEN,Factibilidad | Permiso de Localización | Zonificación/C.O.U.,general / sin inmueble,general (Art,,,Expediente N° 12832/2024 - Reglamentación de la Ordenanza Nº 9377.-,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1747923250.pdf
22/05/2025,02/06/2025,DECRE-2025-540-SI-INTEN,Zonificación/C.O.U.,San Isidro,,VII,C,"Expediente Nº 14532/2023 - Autorizar la compensación dineraria por terreno no cedido para prolongación calle Liniers, a los propietarios Francisco Guillermo Cerviño, y otros.-",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1748025021.pdf
23/05/2025,02/06/2025,DECRE-2025-545-SI-INTEN,Zonificación/C.O.U.,San Isidro,,VII,C,Expediente Nº 17438/2018 - Autorización de compensación dineraria por calle no cedida a FIDUCIARIA AVELLANEDA S.A..-,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1748268842.pdf
02/06/2025,26/06/2025,DECRE-2025-568-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,San Isidro,calle Nicolás Avellaneda N° 962,II,B,Expediente N° 12188-2024 - Consulta de factibilidad: autorizar a HENNEBIQUE S.R.L. la construcción de un Proyecto con destino Viviendas Unifamiliares Agrupadas.-,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1749473262.pdf
02/06/2025,26/06/2025,DECRE-2025-564-SI-INTEN,Factibilidad | Zonificación/C.O.U.,San Isidro,,VII,C,Expediente N° 2351/2022 - Modificar Consulta de Factibilidad autorizada por medio del Decreto Nº 1936/2023.-,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1749472839.pdf
10/06/2025,26/06/2025,DECRE-2025-605-SI-INTEN,Zonificación/C.O.U.,general / sin inmueble,,I,A,"Expediente Nº EX-2025-00046171-SI-SECPDU - Revocar el permiso de uso, precario y gratuito, otorgado a la empresa TAKO S.R.L.-",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1750793065.pdf
11/06/2025,21/07/2025,DECRE-2025-615-SI-INTEN,Zonificación/C.O.U.,Martínez,"calle Vicente López Nº 39 de la ciudad de Martínez, jurisdicción de este Partido",,,Expedientes Nros. 110-HCD-2025 y 220-HCD-2025 - Vetar la Ordenanza Municipal Nº 9396.-,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1753130416.pdf
11/06/2025,21/07/2025,DECRE-2025-614-SI-INTEN,Zonificación/C.O.U.,general / sin inmueble,,,,Expediente Nº 216-HCD-2025 - Vetar la Ordenanza Municipal Nº 9395 (Paisaje Protegido Municipal) sancionada por el Honorable Concejo Deliberante.,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1753130134.pdf
07/07/2025,21/07/2025,DECRE-2025-722-SI-INTEN,Factibilidad | Zonificación/C.O.U.,Boulogne,,6,D,"Expediente Nº 288-HCD-2025 - Vetar la Ordenanza Nº 9399, sancionada por el Honorable Concejo Deliberante el día 12 de junio de 2025.-",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1753131309.pdf
07/07/2025,21/07/2025,DECRE-2025-718-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Boulogne,,VI,H,"Expediente N° 7747-2022 - Consulta de Factibilidad: Autorizar a LATINBONOS SERVICIOS S.A.S. y al Sr. Adrián Andrés Iannuzzi a realizar la construcción de un conjunto de ""Viviendas Unifamiliares Agrupadas”.-",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1752768521.pdf
16/07/2025,11/08/2025,DECRE-2025-761-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Boulogne,Av. Fondo de la Legua N° 785/91,V,A,"Expediente N°101-2025 - Consulta de factibilidad: Autorizar a TRAFIGURA ARGENTINA S.A. a la ejecución de un proyecto de demolición, ampliación, modificaciones internas e instalación de un cajero automático en la “Estació",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1753475442.pdf
22/07/2025,11/08/2025,DECRE-2025-791-SI-INTEN,Zonificación/C.O.U.,Martínez,calle Edison N° 2050,IV,A,Expediente N° 12459/2023 -,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1754607085.pdf
23/07/2025,11/08/2025,DECRE-2025-800-SI-INTEN,Zonificación/C.O.U.,general / sin inmueble,,,,Expediente N° 1417/2022 - Autorizar al personal dependiente de la Secretaría de Planeamiento Urbano a realizar tareas especiales.-,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1754606234.pdf
25/07/2025,11/08/2025,DECRE-2025-816-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Martínez,,IV,D,"Expediente N° 3070/2025 - Autorizar a realizar un proyecto de demolición parcial, modificaciones internas y ampliación con destino “Oficinas”, en el predio con frente a las calles Caracas N° 950, Bogotá N° 973 y Catamarc",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1754604290.pdf
31/07/2025,11/08/2025,DECRE-2025-860-SI-INTEN,Factibilidad,general / sin inmueble,,,,Expediente N° EX-2025-00019650-SI-SSRRII - Registrar los Convenios suscriptos entre la Municipalidad de San Isidro y el Consejo Profesional de Agrimensura de la Provincia de Buenos Aires.-,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1754597498.pdf
31/07/2025,11/08/2025,DECRE-2025-858-SI-INTEN,Factibilidad | Permiso de Localización | Altura/FOT/FOS | Zonificación/C.O.U.,San Isidro,las calles Uspallata Nros,VII,H,Expediente Nº 2588/2025 - Consulta de factibilidad: autorizar a la “Institución Salesiana” a realizar las modificaciones internas y ampliación del Proyecto en el edificio “Casa Zatti” para el destino de “Residencia Geriá,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1754598600.pdf
05/08/2025,26/08/2025,DECRE-2025-882-SI-INTEN,Factibilidad | Permiso de Localización | Zonificación/C.O.U.,Martínez,"las calles Edison N° 2680, Panamá N° 2501, Ruta Panamericana Acceso Norte Conscripto Marcelo Romero Nros",IV,A,Expediente N° 12877/2021 - Consulta de factibilidad: Centro Comercial Unicenter.-,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1755618373.pdf
08/08/2025,26/08/2025,DECRE-2025-904-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,San Isidro,Zona de Uso No Conforme,,,"Expediente N° 14107-2024 - Consulta de Factibilidad: Autorizar a P.P. + 4 S.R.L., CUIT N° 30-71511653-3, a la construcción de un proyecto de “Vivienda Multifamiliar”.-",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1755619642.pdf
11/08/2025,26/08/2025,DECRE-2025-912-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Boulogne,,VI,A,"Expediente N° 2261/2025 - Consulta de factibilidad: autorizar a GRUPO MASSA S.A., C.U.I.T. N° 30-69729342-2, a realizar un proyecto con destino “Depósito y Oficinas”.-",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1755620068.pdf
19/08/2025,29/08/2025,DECRE-2025-942-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Acassuso,,III,C,Expediente N° 821/2025 - Consulta de factibilidad: autorizar a “MANZONE 703 S.A.” (CUIT N° 30-71860815-1) a la ejecución de un proyecto con destino “Residencia Estudiantil”.-,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1756494483.pdf
10/09/2025,24/09/2025,DECRE-2025-1083-SI-INTEN,Factibilidad | Permiso de Localización | Altura/FOT/FOS | Zonificación/C.O.U.,Beccar,calle Juan Bautista Justo N° 1425,VIII,D,Expediente Nº 647/2025 - Consulta de factibilidad: autorizar a la firma ALPARAMIS S.A. (C.U.I.T. Nº 30-59988339-4). Inmueble: Juan Bautista Justo N° 1431.-,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1758140990.pdf
