fecha,tipo,numero,objeto,domicilio,localidad,es_san_isidro,monto_max,pdf
2002-03-08,DECRETO,469,"Apruébase el convenio entre la decreta : Municipalidad de San Isidro y el agente Concepción ARTICULO 1ro.- Prorrógase por el término de noventa BUSTOS (Legajo Nº 8.580), mediante el cual el (90) días ","Av. Centenario 333 de ARTICULO 2º.- El convenio cuya aprobación dispone este Partido, por la suma de $ 36.000,",,SIN CLASIFICAR,36000.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-614-2002-03-01.pdf
2002-04-09,DECRETO,712,"ro.- ADJUDICASE a la firma VIOCA EL INTENDENTE MUNICIPAL DE SAN ISIDRO S.A. con domicilio en Thames Nro. 2290 5° “A” – d e c r e t a: Capital Federal, para la Contratación del Servicio de ARTICULO 1ro","Thames Nro. 2290 5° “A” – d e c r e t a: Capital Federal, para la Contratación del Servicio de ARTICULO 1ro.- | Presupuesto General de Gastos pertinen",San Isidro,SI,2002.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-616-2002-04-01.pdf
2002-04-12,DECRETO,748,"ro.- ADJUDICASE a la firma VIANI EL INTENDENTE MUNICIPAL DE SAN ISIDRO S.A.C.I. C y A. con domicilio en Montevideo Nro. decreta : 708 3er. Piso - Capital Federal, para la provisión de","Montevideo Nro. decreta : 708 3er. Piso - Capital Federal, para la provisión de 53 Boletín Oficial - Municipal",CABA,NO,,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-616-2002-04-01.pdf
2002-05-02,DECRETO,885,"ro.- Reconócese el cambio de titularidad operado en el comercio destinado al rubro “ADMINISTRACION, DEPOSITO Y TALLER DE MANTENIMIENTO, ELABORACION Y COMERCIALIZACION DE EQUIPOS Y/O Ref. Expte. Nro. 3","Andrés Rolón Nro. 694 cubiertos y 1760 m2 correspondientes a accesos y – San Isidro, los ítems 12 – 39 – 57 – | artículos precedentes queda condiciona",San Isidro,SI,36154.80,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-618-2002-05-01.pdf
2002-05-02,DECRETO,888,"ro.- Adjudícase a las firmas que a correspondientes debían efectuarse exclusivamente continuación se detalla, los ítems que rigieron la dentro del predio y fuera del horario de atención al Licitación ","la Avda. Andrés Rolón clientes se debían prever, como mínimo, quince (15) N° 694 San Isidro los renglones 1- 6 | la Avda. la ejecución del estacionami",San Isidro,SI,65613.60,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-618-2002-05-01.pdf
2002-05-02,DECRETO,894,"ro.- Adjudícase a la empresa CETINCO, con domicilio en la calle Diego Palma Nro. 358 2do. Cuerpo, 2do. Piso, Dpto. “C” – San Isidro, la ejecución de la obra: “LIMPIEZA, PROFUNDIZACION Y PERFILADO DE C","la calle VISTO los presentes Intendente Neyer Nro. 179, de la ciudad de Beccar, actuados; y jurisdicción de es | la calle Diego Palma Nro. 358 2do. Cu",San Isidro,SI,31860.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-618-2002-05-01.pdf
2002-05-03,DECRETO,897,"ro.- Exímese del pago de la Tasa por EL INTENDENTE MUNICIPAL DE SAN ISIDRO Alumbrado, Limpieza, Conservación y decreta : Reconstrucción de la Vía Pública, por el año 2002, al ARTICULO 1ro.- Exímese de","Edison Nro. 2085, de la Ciudad de Martínez, jurisdicción de este Partido, ARTICULO 3ro.- Regístrese. Comuníque",San Isidro,SI,,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-618-2002-05-01.pdf
2002-05-07,DECRETO,922,"al Ingeniero Civil actuados; y José Antonio E. COLLO -DNI 11.266.681-, Matrícula Considerando: 47.292, con domicilio real en la calle Int. Neyer 179 de QUE, el día 22 de abril de","la calle Int. Neyer 179 de QUE, el día 22 de abril de la ciudad de Beccar, jurisdicción de este Partido.- 2002 | la calle Intendente Tomkinson Nro. 92",San Isidro,SI,92150.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-618-2002-05-01.pdf
2002-05-14,DECRETO,948,"2.2.1., inciso 9, ítem c) de la citada d) Se verificarán las condiciones de seguridad normativa; establecidas por el Código de Edificación: QUE según el croquis de instalación eléctrica acorde a la Or","Manuela García Nro. 2044 continuar, ante la Subsecretaría de Inspección General, de la ciudad de Beccar , de e",San Isidro,SI,,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-618-2002-05-01.pdf
2002-06-06,DECRETO,1253,"del referido Decreto, debiendo constar en el mismo el período de vigencia de la contratación; POR ello, en ejercicio de las facultades que le son propias, EL INTENDENTE MUNICIPAL DE SAN ISIDRO Decreta","Av. Andrés Rolón N° 268 de este Partido, la contratación del servicio de desagote de pozos cie",,SIN CLASIFICAR,75150.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-620-2002-06-01.pdf
2002-06-06,DECRETO,1271,"del referido Decreto, debiendo constar en el mismo el período de vigencia de la contratación; POR ello, en ejercicio de las facultades que le son propias, EL INTENDENTE MUNICIPAL DE SAN ISIDRO Decreta","Av. Centenario N° 333 de este Partido, la contratación del servicio de “ESTUDIOS POR TOMOGRAFIA AXIAL COMPUTAR",,SIN CLASIFICAR,30000.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-620-2002-06-01.pdf
2002-06-14,DECRETO,1345,"ro.- Adjudícase a las firmas que a continuación se detalla, los ítems que ************** rigieron la Licitación Pública Nro. 06/2002, para la provisión de insumos de materiales descartables, con desti","Planes Nro. 9303234 – Capital Federal, los ítems 91 – 179 – 180, por un importe de $ 5.826,00.- MALLINCKRODT | Esmeralda Nro. 1080 – Capital Federal, ",CABA,NO,161962.85,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-620-2002-06-01.pdf
2002-07-02,DECRETO,1441,"ro.- ADJUDICASE a la firma VIANI S.A.C.I.C. y A., con domicilio en ************* Montevideo Nro. 708 piso 3° Of. 11 – Capital Federal, para la adquisición de 1000 toneladas de mezcla bituminosa tipos "," Montevideo Nro. 708 piso 3° Of. 11 – Capital Federal, para la adquisición de 1000 toneladas de m",CABA,NO,94750.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-622-2002-07-01.pdf
01/08/2002,DECRETO,1720,"ro.- PRORROGASE la contratación del servicio oportunamente adjudicado *************** a la firma RESIDENCIAS GERIATRICAS EVIS S.A., con domicilio en la calle Constitución Nº 1443 de la ciudad de San F","la calle Constitución Nº 1443 de la ciudad de San Fernando, consistente en LOCACION DE CAMAS, (diez (10) en fo",San Fernando,NO,,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-624-2002-08-01.pdf
2002-09-05,DECRETO,1949,"ro.- Adjudícase a las firmas que a continuación se detalla, los ítems que ************** rigieron la Licitación Privada Nro. 18/2002, para la provisión de una Emblistadora semiautomática, una Dosifica","Pino Nro. 1902 – Haedo, los ítems 1 y 3, por un importe de $ 37.897,20.- AVIC DE JORGE LUIS MARCONE, con domic",,SIN CLASIFICAR,37897.20,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-626-2002-09-01.pdf
2002-09-06,DECRETO,1950,"ro.- ADJUDICASE a la firma SETEX S.A. con domicilio en Avda. ************** Lisandro de la Torre Nro. 2613 – Capital Federal, el servicio de lavado y alquiler de ropa limpia de uso Hospitalario por el","Avda. Lisandro de la Torre Nro. 2613 – Capital Federal, el servicio de lavado y alquiler de rop",Torre Nro,NO,,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-626-2002-09-01.pdf
2002-09-13,DECRETO,2032,"ro.- ADJUDICASE a la empresa CONSTRUCCIONES ECOLOGICAS ************** S.A., con domicilio legal en Avda. Centenario Nro. 1223 de la ciudad de San Isidro, la ejecución de la obra: “SANEAMIENTO DE BASE ","Avda. Centenario Nro. 1223 de la ciudad de San Isidro, la ejecución de la obra: “SANEAMIENTO DE BASE EN BACHEO | la calle Intendente Neyer Nro. 179 de",San Isidro,SI,89925.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-626-2002-09-01.pdf
2002-10-08,DECRETO,2162,"ro.- Adjudícase a la empresa Roux – Ocefa S.A., con domicilio en ************** Montevideo 79, Capital, los ítems 3 y 4, por un importe total de $ 1.125.- ARTICULO 2do.- La erogación que demande el cu"," Montevideo 79, Capital, los ítems 3 y 4, por un importe total de $ 1.125.- ARTICULO 2do.- La er",,SIN CLASIFICAR,1125.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-628-2002-10-01.pdf
2002-10-09,DECRETO,2169,"ro.- Adjudícase a las firmas que a continuación se detalla, los ítems que ************** rigieron la Licitación Pública Nº 21/2002, para la provisión de materiales descartables: INSTRUEQUIPOS S.A., co","Iguazú Nº 218 de Capital Federal, los ítems 1-2-43- 45- 47, por un importe de $ 33.700; AMERICAN LENOX S.A., c | J. E. Uriburu Nº 663 1º Piso de Capit",Capital Federal,NO,50284.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-628-2002-10-01.pdf
01/10/2002,DECRETO,2188,"ro.- Modifícase el artículo 1° del Decreto 2162/02, quedando redactado de la ************* siguiente forma: “ARTICULO 1°.- Adjudícase a las siguientes empresas los ítems que rigieron la Licitación ***","Av. Boyacá 417, Capital, los ítems 1 y 2, por un importe de $ 63.200; - Roux – Ocefa S.A., con domicilio en Mo",,SIN CLASIFICAR,63200.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-628-2002-10-01.pdf
2002-11-14,DECRETO,2411,"ro.- Adjudícase a la empresa VIOCA S.A., con domicilio en la Avda. Centena- ************** rio Nº 1519 de la ciudad de Beccar, la Licitación Privada Nº 24/2002, referente a la ejecución de la obra “ES","la Avda. Centena- rio Nº 1519 de la ciudad de Beccar, la Licitación Privada Nº 242002, referen | la calle Intendente Neyer Nº 179 de la ciudad de Becc",San Isidro,SI,87500.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-630-2002-11-01.pdf
2002-12-13,DECRETO,2657,"ro.- Adjudícase a la empresa VIOCA S.A., con domicilio en la Avda. Centena- ************** rio Nº 1519 de la ciudad de Beccar, la Licitación Privada Nº 26/2002, referente a la ejecución de la obra “CO","la Avda. Centena- rio Nº 1519 de la ciudad de Beccar, la Licitación Privada Nº 262002, referen | la calle Intendente Neyer Nº 179 de la ciudad de Becc",San Isidro,SI,76225.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-632-2002-12-01.pdf
2003-01-06,DECRETO,1,"ro.- PRORROGASE la contratación del servicio de MANTENIMIENTO *************** TERAPEUTICO Y PREVENTIVO DEL CONTROL DE PALGAS, por un importe de PESOS VEINTIOCHO MIL QUINIENTOS SESENTA ($ 28.560), opor","la calle Larrea N° 353 de la ciudad de San Isidro, a partir del 1º de enero y hasta el 31 de diciembre de 2003",San Isidro,SI,28560.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-634-2003-01-01.pdf
2003-01-06,DECRETO,2,"ro.- PRORROGASE la contratación del servicio de PROVISION DE **************** ALIMENTOS PARENTERAL, para ser usados en los servicios de neonatología y terapia intensiva pediátrica del Hospital Materno","la calle Franklin D. Roosevelt N° 4973 de Capital Fedral, a partir del 1º de enero y hasta el 31 de diciembre",Capital Fedral,NO,72000.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-634-2003-01-01.pdf
2003-01-06,DECRETO,3,"ro.- PRORROGASE la contratación del servicio de ESTUDIOS POR ME *************** DIO DE LA REALIZACION DE ECOGRAFIAS, DOPPLER CONVENCIONAL, ECOCARDIOGRAFIA Y HOLTER a los pacientes del sistema de Salud","la Avda. Centenario N° 333 la ciudad de San Isidro, a partir del 1º de enero y hasta el 31 de diciembre de 200",San Isidro,SI,45000.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-634-2003-01-01.pdf
2003-01-06,DECRETO,12,"ro.-Prorrógase desde el 01/01/2003 y hasta el 31/12/2003 inclusive, el ************* Servicio de Estudios por medio de realización de Medicina Nuclear – Camara Gama- Centellograma a los pacientes del ","Avda. Centenario Nro. 333 – San Isidro; QUE en virtud de lo expuesto, la Dirección General de Compras solicita | Avda. Centenario Nro. 333 – San Isidr",San Isidro,SI,34500.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-634-2003-01-01.pdf
2003-01-06,DECRETO,13,"ro.-Prorrógase desde el 01/01/2003 y hasta el 31/12/2003 inclusive, el ************* Servicio de Mantenimiento Preventivo Correctivo de los Ascensores y Montacarga de los Centros dependiente de la Sec","Avda. Sucre Nro. 2979 - Beccar, por un importe de PESOS DIEZ MIL SEISCIENTOS OCHENTA ($ 10.680.-).- ARTICULO 2",San Isidro,SI,10680.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-634-2003-01-01.pdf
2003-01-06,DECRETO,14,"ro.-Prorrógase desde el 01/01/2003 y hasta el 31/12/2003 inclusive, el ************* Servicio de Mantenimiento Preventivo Correctivo de Edificios en el Hogar Infantil Municipal, Jardines Maternales y ","Ambrosoni Nro. 1104 - Victoria; QUE en virtud de lo expuesto, la Dirección General de Compras solicita el dict | Ambrosoni Nro. 1104 - Victoria, por u",Compras Solicita,NO,80300.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-634-2003-01-01.pdf
2003-01-06,DECRETO,15,"ro.-Prorrógase desde el 01/01/2003 y hasta el 31/12/2003 inclusive, el ************* Servicio de Mantenimiento Preventivo Correctivo y de atención de Emergencias para las Instalaciones de Aire Acondic","Nicolás Avellaneda Nro. 151 – San Isidro; QUE en virtud de lo expuesto, la Dirección General de Compras solici | Nicolás Avellaneda Nro. 151 – San Isi",San Isidro,SI,79680.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-634-2003-01-01.pdf
2003-01-06,DECRETO,16,"ro.-Prorrógase desde el 01/01/2003 y hasta el 31/12/2003 inclusive, el ************* Servicio de Mantenimiento Preventivo Correctivo y de urgencia para los Sanitarios, Desagues Cloacales y Pluviales, ","Ambrosoni Nro. 1104 - Victoria; QUE en virtud de lo expuesto, la Dirección General de Compras solicita el dict | Ambrosoni Nro. 1104 - Victoria, por u",Compras Solicita,NO,89650.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-634-2003-01-01.pdf
2003-01-06,DECRETO,17,"ro.-Prorrógase desde el 01/01/2003 y hasta el 31/12/2003 inclusive, el ************* Servicio de Mantenimiento Preventivo Correctivo de Equipos de Odontología, instalados en los Hospitales y Centros P","España Nro. 1163 – San Isidro; QUE en virtud de lo expuesto, la Dirección General de Compras solicita el dicta | España Nro. 1163 – San Isidro, por un",San Isidro,SI,10800.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-634-2003-01-01.pdf
2003-01-06,DECRETO,18,"ro.-Prorrógase desde el 01/01/2003 y hasta el 31/12/2003 inclusive, el ************* Servicio de Mantenimiento Preventivo Correctivo de Autoanalizadores Abbott modelo Spectrum CCX 4341 y 4233, ubicado","Pasaje Oporto Nro. 6125 – Capital Federal; QUE en virtud de lo expuesto, la Dirección General de Compras solic | Pasaje Oporto Nro. 6125 – Capital Fed",CABA,NO,22680.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-634-2003-01-01.pdf
2003-01-06,DECRETO,25,"ro.- ADJUDICASE a la firma CONSULT S.A. con domicilio en ************** Pasaje Granaderos Nro. 673 – Beccar, por el alquiler de un hidroelevador por el período comprendido desde la emisión de la Orden"," Pasaje Granaderos Nro. 673 – Beccar, por el alquiler de un hidroelevador por el período compren",San Isidro,SI,98000.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-634-2003-01-01.pdf
2003-01-09,DECRETO,79,"ro.-Prorrógase desde el 01/01/2003 y hasta el 31/12/2003 inclusive, el ************* Servicio de Tareas Generales con un vehículo Sedan, con chofer y combustible, adjudicado mediante la Orden de Compr","Hipólito Yrigoyen Nro. 2993 – Capital Federal; QUE en virtud de lo expuesto, la Dirección General de Compras s | Hipólito Yrigoyen Nro. 2993 – Capital",CABA,NO,19200.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-634-2003-01-01.pdf
2003-01-09,DECRETO,81,"ro.- ADJUDICASE a la firma VIOCA S.A. con domicilio en Thames Nro. ************** 2290 – Capital Federal, por el mantenimiento de la Defensa Costera del Bajo de San Isidro desde la emisión de la Orden","Thames Nro. 2290 – Capital Federal, por el mantenimiento de la Defensa Costera del Bajo de San",Defensa Costera Del Bajo De San,NO,127800.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-634-2003-01-01.pdf
2003-01-10,DECRETO,84,"ro.- ADJUDICASE a la firma TRANSPORTER de ANAHI REPRESAS con ************* domicilio en Chubut Nro. 1003 – San Isidro, para la contratación de un servicio de acarreo de vehículos mal estacionados en l","Chubut Nro. 1003 – San Isidro, para la contratación de un servicio de acarreo de vehículos mal estacionados en",San Isidro,SI,121800.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-634-2003-01-01.pdf
2003-01-10,DECRETO,88,"ro.- Adjudícase a la empresa NORTRUCK S.R.L. con domicilio en la calle ************** Ingeniero Bergallo N° 1153 de la ciudad de San Isidro, la Licitación Privada Nº 37/2002, referente a la CONTRATACI","la calle Ingeniero Bergallo N° 1153 de la ciudad de San Isidro, la Licitación Privada Nº 37200",San Isidro,SI,140000.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-634-2003-01-01.pdf
2003-01-14,DECRETO,104,"ro.-Prorrógase desde el 01/01/2003 y hasta el 31/12/2003 inclusive, el ************* Servicio de Provisión de Gases de Uso Medicinal, adjudicado mediante la Orden de Compra Nro. 42394, Suministro 937/","Ruta Panamericana Norte Km. 37.5 - Escobar; QUE en virtud de lo expuesto, la Dirección General de Compras soli | Ruta Panamericana Norte Km. 37.5 - Es",,SIN CLASIFICAR,102508.04,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-634-2003-01-01.pdf
2003-01-14,DECRETO,105,"ro.-Prorrógase desde el 01/01/2003 y hasta el 31/12/2003 inclusive, el ************* Servicio de Desagote de Cañerías, Pluviales, Cloacales y Pozos Ciegos, en forma mecanizada (9.000 mts.3 aproximadam","Avda. Andrés Rolón Nro. 268 de este Partido; QUE en virtud de lo expuesto, la Dirección General de Compras sol | Avda. Andrés Rolón Nro. 268 de este P",,SIN CLASIFICAR,75150.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-634-2003-01-01.pdf
2003-01-14,DECRETO,106,"ro.- Prorrógase desde el 01/01/2003 y hasta que se resuelva la Licitación en ************* curso, el Servicio de Mantenimiento Preventivo Correctivo de Equipos en comodato y provisión de Insumos para ","Aráoz Nro. 86 – Capital Federal; QUE en virtud de lo expuesto, la Dirección General de Compras solicita el dic | Aráoz Nro. 86 – Capital Federal, por ",Compras Solicita,NO,4807.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-634-2003-01-01.pdf
2003-01-14,DECRETO,108,"ro.- ADJUDICASE a la firma M. A. ALZOLA con domicilio en ************** Ferrante Nro. 164 - Victoria, por el mantenimiento de 25 bombas depresoras de napas freaticas ubicadas en distintos sectores del"," Ferrante Nro. 164 - Victoria, por el mantenimiento de 25 bombas depresoras de napas freaticas u",,SIN CLASIFICAR,75600.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-634-2003-01-01.pdf
2003-01-15,DECRETO,119,"ro.- Adjudícase a las firmas que a continuación se detalla, los ítems que ************** rigieron la Licitación Pública Nro. 13/2002, para la provisión de insumos de Bactereología, material descartabl","Humberto 1° Nro. 2070 – Avellaneda, los ítems 1-6-7-8-9-10-11-12-13-14-47-48-55-59-60-61-62-69-70-76-77-78-117 | Avda. Córdoba Nro. 2552 – Capital Fed",CABA,NO,63692.34,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-634-2003-01-01.pdf
2003-01-15,DECRETO,120,"ro.- Adjudícase a las firmas que a continuación se detalla, los ítems que ************** rigieron la Licitación Privada Nro. 35/2002, para la adquisición de Insumos de Hemoterapia –1° Semestre año 200","Aráoz Nro. 86 – Capital Federal, los ítems 27-35-37-38-39-40-41-42-43-44-62-63 y 67, por un importe de $ 23.86 | Avda. Boyacá Nro. 417 – Capital Feder",CABA,NO,29627.60,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-634-2003-01-01.pdf
2003-02-03,DECRETO,259,"ro.- Modifícase el artículo 1ro. del Decreto nº 166/2003, referente a las adjudicaciones de las firmas FADA PHARMA S.A., con domicilio en Tabaré Nro. 1641 – Capital Federal, los ítems 1- 34- 46 –52 –5","Tabaré Nro. 1641 – Capital Federal, los ítems 1- 34- 46 –52 –56 – 59 – 68 – 99 – 100 – 103 – 118 – 128 – 129 – | Luis Viale Nro. 1848 – Capital Fedral",CABA,NO,81164.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-636-2003-02-01.pdf
2003-02-05,DECRETO,267,"ro.- Adjudícase a la empresa Residencia Geriátrico Evis S.A., con ************* domicilio en Constitución 1443, San Fernando la Licitación Privada n° 14/02, referida a la contratación del servicio de ","Constitución 1443, San Fernando la Licitación Privada n° 1402, referida a la contratación del servicio de loc",,SIN CLASIFICAR,277200.20,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-636-2003-02-01.pdf
