boletin,fecha_publicacion,fecha_firma,tipo,numero,objeto,tags,pdf
#1143,04/04/2024,20/03/2024,Decreto,DECRE-2024-260-SI-INTEN,"Expte. Nº 995/2024. Desestimar la única oferta presentada en el Primer Llamado a la Lic. Pública Nº 6/2024 y Efectuar un Segundo Llamado para la “CONTRATACIÓN DEL SERVICIO DE LIMPIEZA, DESOBSTRUCCIÓN Y DESAGOTE DE POZOS CIEGOS Y CONDUCTOS PLUVIALES"".",Segundo Llamado Licitación Pública,
#1144,18/04/2024,08/04/2024,Decreto,DECRE-2024-313-SI-INTEN,"Expediente Nº 12653-2014 (Alcances 33, 34 y 37) - Reconocimiento de mayores costos a las firmas Benito Roggio e Hijos S.A. – CLIBA – Ingeniería Ambiental S.A. – UTE, CUIT N° 30-69724712-9, adjudicatarias de la Licitación Pública N° 17/2014.",Mayores Costos,
#1279,30/04/2024,23/04/2024,Decreto,DECRE-2024-389-SI-INTEN,"Expte. Nº 11156/2001- Eximir del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un veinticinco por ciento (25%) respecto a la cuenta tributaria N° 390.942.-",Eximición Tasa A.L. y S.G. 25%,
#1279,30/04/2024,23/04/2024,Decreto,DECRE-2024-390-SI-INTEN,"Expediente Nº 7650-2003 (Cuerpo 2) - Eximir al Sr. José Sánchez del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un veinticinco por ciento (25%), respecto a la cuenta tributaria N° 372.909, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 25%,
#1279,30/04/2024,23/04/2024,Decreto,DECRE-2024-391-SI-INTEN,"Expediente Nº 5673-2012 - Eximir a la Sra. María Angélica Peña del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un veinticinco por ciento (25%), respecto a la cuenta tributaria N° 660.282, para los períodos fiscales 2023 y 2024.",Eximición Tasa A.L. y S.G. 25%,
#1279,30/04/2024,23/04/2024,Decreto,DECRE-2024-392-SI-INTEN,"Expediente Nº 1419-2015 - Eximir al Sr. Pedro Claver Espínola Acosta del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 712.967, para el período 2024.",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,23/04/2024,Decreto,DECRE-2024-393-SI-INTEN,"Expediente Nº 9611-2023 - Eximir a la Sra. Mirta Rosa Necco del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un veinticinco por ciento (25%), respecto a la cuenta tributaria N° 382.011, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 25%,
#1279,30/04/2024,23/04/2024,Decreto,DECRE-2024-394-SI-INTEN,"Expediente Nº 4725-2023 - Eximir a la Sra. Mirta Susana Galván del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un veinticinco por ciento (25%), respecto a la cuenta tributaria N° 220.250, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 25%,
#1279,30/04/2024,23/04/2024,Decreto,DECRE-2024-395-SI-INTEN,"Expediente Nº 1776-2017 - Eximir a la Sra. Irma Haydee Console del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cincuenta por ciento (50%), respecto a la cuenta tributaria N° 820.665, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 50%,
#1279,30/04/2024,23/04/2024,Decreto,DECRE-2024-396-SI-INTEN,"Expediente Nº 2144-2017 - Eximir a la Sra. Teresa Pace del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cincuenta por ciento (50%), respecto a la cuenta tributaria N° 361.384, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 50%,
#1279,30/04/2024,23/04/2024,Decreto,DECRE-2024-397-SI-INTEN,"Expediente Nº 1227-2020 - Eximir a Cristina Noemí Loujedo del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 440.687, para los períodos fiscales 2021, 2022, 2023 y 2024.",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,23/04/2024,Decreto,DECRE-2024-398-SI-INTEN,"Expediente Nº 9735-2008 (Cuerpo 2) - Eximir a la Sra. María Taragan del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cincuenta por ciento (50%), respecto a la cuenta tributaria N° 521.270, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 50%,
#1279,30/04/2024,23/04/2024,Decreto,DECRE-2024-399-SI-INTEN,"Expediente Nº 142-2024 - Eximir a la Sra. Ana Isabel Schinkel del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 363.094, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,23/04/2024,Decreto,DECRE-2024-400-SI-INTEN,"Expediente Nº 2552-2018 - Eximir al Sr. Antonio Jorge Vetere del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cincuenta por ciento (50%), respecto a la cuenta tributaria N° 640.613, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 50%,
#1279,30/04/2024,23/04/2024,Decreto,DECRE-2024-401-SI-INTEN,"Expediente Nº 7192-2023 - Eximir a la Sra. Elsa Reyes Cantero del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 532.268, para el período 2024.",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,23/04/2024,Decreto,DECRE-2024-402-SI-INTEN,"Expediente Nº 11627-2007 - Eximir a la Sra. Fermina Velázquez Patiño del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cincuenta por ciento (50%), respecto a la cuenta tributaria N° 533.252, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 50%,
#1279,30/04/2024,23/04/2024,Decreto,DECRE-2024-403-SI-INTEN,"Expediente Nº 5597-2014 - Eximir a la Sra. Marta María Quijano del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cincuenta por ciento (50%), respecto a la cuenta tributaria N° 221.698, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 50%,
#1279,30/04/2024,23/04/2024,Decreto,DECRE-2024-404-SI-INTEN,"Expediente N° 15414-2001 (Cuerpo 2) - Eximir a María del Carmen Silvestre del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cincuenta por ciento (50%), respecto a la cuenta tributaria N° 410.889, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 50%,
#1279,30/04/2024,23/04/2024,Decreto,DECRE-2024-405-SI-INTEN,"Expediente Nº 9736-2022 - Eximir al Sr. Rubén Hugo Díaz del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cincuenta por ciento (50%), respecto a la cuenta tributaria N° 530.368, para el período fiscal 2024.",Eximición Tasa A.L. y S.G.,
#1279,30/04/2024,23/04/2024,Decreto,DECRE-2024-406-SI-INTEN,"Expediente Nº 4528-2019 - Eximir a la Sra. María del Carmen Ortega del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un veinticinco por ciento (25%), respecto a la cuenta tributaria N° 216.865, para el período 2024.",Eximición Tasa A.L. y S.G. 25%,
#1279,30/04/2024,24/04/2024,Decreto,DECRE-2024-418-SI-INTEN,"Expediente Nº 2642-2015 - Eximir a la Sra. Elsa Avelina Muro del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 632.758, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,24/04/2024,Decreto,DECRE-2024-419-SI-INTEN,"Expediente Nº 683-2017 - Eximir al Sr. Germán Ariel Catarcio del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 421.415, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,24/04/2024,Decreto,DECRE-2024-422-SI-INTEN,"Expediente Nº 2239-2024 - Adjudicar el Concurso de Precios N° 35/2024, para la adquisición de “ARTÍCULOS DE LIMPIEZA”.",Adjudicación,
#1279,30/04/2024,24/04/2024,Decreto,DECRE-2024-425-SI-INTEN,"Expediente Nº 3996-2012 - Eximir a la Sra. Hilda Nora Landin del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cincuenta por ciento (50%), respecto a la cuenta tributaria N° 123.001, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 50%,
#1279,30/04/2024,24/04/2024,Decreto,DECRE-2024-426-SI-INTEN,"Expediente Nº 11360-2015 - Eximir a la Sra. María Paz Soberón del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cincuenta por ciento (50%), respecto a la cuenta tributaria N° 530.951, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 50%,
#1279,30/04/2024,24/04/2024,Decreto,DECRE-2024-427-SI-INTEN,"Expediente Nº 8638-2009 - Eximir a la Sra. Mercedes Cristina Centeno del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cincuenta por ciento (50%), respecto a la cuenta tributaria N° 842.265, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 50%,
#1279,30/04/2024,24/04/2024,Decreto,DECRE-2024-428-SI-INTEN,"Expediente Nº 5482-2022 - Eximir al Sr. Daniel Sergio Taracido del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 392.036, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,24/04/2024,Decreto,DECRE-2024-429-SI-INTEN,"Expediente Nº 1330-2015 - Eximir a la Sra. Vilma María Gimenez del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 631.826, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,24/04/2024,Decreto,DECRE-2024-430-SI-INTEN,"Expediente Nº 13120-2005 - Eximir a la Sra. Berta María Botiglieri del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 563.251, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,24/04/2024,Decreto,DECRE-2024-431-SI-INTEN,"Expediente Nº 8456-2019 - Eximir al Sr. Ricardo Alberto Quinteros del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 751.320, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,24/04/2024,Decreto,DECRE-2024-432-SI-INTEN,"Expediente Nº 1473-007 (Cuerpo 2) - Eximir a la Sra. Juana Scollo del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 570.561, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,24/04/2024,Decreto,DECRE-2024-433-SI-INTEN,"Expediente Nº 1869-2003 - Eximir a la Sra. Nelly Beatriz Salcedo del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la Cuenta N° 842.616, para los períodos fiscales 2023 y 2024.",Eximición Tasa A.L. y S.G.,
#1279,30/04/2024,24/04/2024,Decreto,DECRE-2024-434-SI-INTEN,"Expediente Nº 10108-2015 - Eximir a la Sra. Rosa Ramona Olivera del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 217.462, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,24/04/2024,Decreto,DECRE-2024-435-SI-INTEN,"Expediente Nº 1151-2014 - Eximir al Sr. Humberto Juan Cozenza del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 760.254, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,24/04/2024,Decreto,DECRE-2024-445-SI-INTEN,Expediente N° 4235-2024 - Modificar el rango jerárquico de la Dirección de Higiene Urbana a “Dirección General” - Designar al Sr. Juan Manuel VIDAL (Legajo Nº 74.958) para cubrir el cargo y función de Director General de Higiene Urbana.,Modificación Rango Jerárquico,
#1279,30/04/2024,25/04/2024,Decreto,DECRE-2024-446-SI-INTEN,"Expediente Nº 1887-1984 - Eximir a la Sra. María Francisca Franco Sánchez del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cincuenta por ciento (50%), respecto a la cuenta tributaria N° 842.437, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 50%,
#1279,30/04/2024,25/04/2024,Decreto,DECRE-2024-447-SI-INTEN,"Expediente Nº 7847-2014 - Eximir a la Sra. Josefa Torres del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cincuenta por ciento (50%), respecto a la cuenta tributaria N° 561.701, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 50%,
#1279,30/04/2024,25/04/2024,Decreto,DECRE-2024-448-SI-INTEN,"Expediente Nº 8280-2006 (Cuerpo 2) - Eximir a la Sra. Nora Elsa Acosta del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 531.323, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,25/04/2024,Decreto,DECRE-2024-449-SI-INTEN,"Expediente Nº 1346-2011 - Eximir a la Sra. María Cecilia Baxter del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 351.487, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,25/04/2024,Decreto,DECRE-2024-450-SI-INTEN,"Expediente Nº 6252-2014 - Eximir a la Sra. Nancy del Carmen Pérez Álvarez del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 610.575, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,25/04/2024,Decreto,DECRE-2024-451-SI-INTEN,"Expte. Nº 12327/2007.- Eximir a la Sra. Nélida Magdalena Malugani del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 542.606, para el período fiscal 2024.-",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,25/04/2024,Decreto,DECRE-2024-452-SI-INTEN,"Expediente Nº 4406-1999 - Eximir al Sr. Benjamín Jorge Argañaras del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 335.680, para el período fiscal 2023.",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,25/04/2024,Decreto,DECRE-2024-453-SI-INTEN,"Expediente Nº 10037-2023 - Eximir a la Sra. Susana Beatriz Acosta del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 571.933, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,25/04/2024,Decreto,DECRE-2024-454-SI-INTEN,"Expte. Nº 46/2001.- Eximir a la Sra. Filomena Ángela Levato del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 393.211, para los períodos fiscales 2023 y 2024.-",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,25/04/2024,Decreto,DECRE-2024-455-SI-INTEN,"Expte. Nº 9636/1985.- Eximir a la Sra. Dina Polinelli Della Vedova del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 780.203, para el período fiscal 2024.-",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,25/04/2024,Decreto,DECRE-2024-456-SI-INTEN,"Expte. Nº 4061/2017.- Eximir a la Sra. María Cristina Gómez del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 331.972, para el período fiscal 2024.-",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,25/04/2024,Decreto,DECRE-2024-457-SI-INTEN,"Expediente Nº 8534-2015 - Eximir a la Sra. Dominga Dávalos del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 431.547, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,25/04/2024,Decreto,DECRE-2024-458-SI-INTEN,"Expediente Nº 10981-2015 - Eximir al Sr. Omar Rolando Andantes del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 710.609, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,25/04/2024,Decreto,DECRE-2024-459-SI-INTEN,"Expediente Nº 4543-2015 - Eximir al Sr. Juan José Pansechi del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cincuenta por ciento (50%), respecto a la cuenta tributaria N° 373.795, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 50%,
#1279,30/04/2024,25/04/2024,Decreto,DECRE-2024-460-SI-INTEN,"Expediente Nº 2621-2009 - Eximir a la Sra. Celia Julia López del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 712.324, para los períodos fiscales 2023 y 2024.",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,25/04/2024,Decreto,DECRE-2024-461-SI-INTEN,"Expediente Nº 531-2010 - Eximir al Sr. Pedro Miguel Barrionuevo del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 630.949, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,25/04/2024,Decreto,DECRE-2024-462-SI-INTEN,"Expediente Nº 2472-2020 - Eximir al Sr. Carlos Soler del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 371.321, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,25/04/2024,Decreto,DECRE-2024-463-SI-INTEN,"Expediente Nº 780-2024 - Eximir al Sr. Horacio Eloy Falcone del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 384.008, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,25/04/2024,Decreto,DECRE-2024-464-SI-INTEN,"Expediente Nº 398-2018 - Eximir a la Sra. María Teresa Racciatti del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales del cien por ciento (100%), respecto a la cuenta tributaria N° 822.489, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,25/04/2024,Decreto,DECRE-2024-465-SI-INTEN,"Expediente Nº 1747-2024. Eximir a la Sra. Elena Blanco del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 543.284, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,25/04/2024,Decreto,DECRE-2024-466-SI-INTEN,"Expediente Nº 9480-2019 - Eximir al Sr. José Luis Molinari del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 831.294, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,25/04/2024,Decreto,DECRE-2024-467-SI-INTEN,"Expte. Nº 3185/2006.- Eximir a la Sra. Beatriz Nélida Niño del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 211.383, para el período fiscal 2024.-",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,25/04/2024,Decreto,DECRE-2024-468-SI-INTEN,"Expte. Nº 11366/2004.- Eximir a la Sra. Martina González del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 731.588, para el período fiscal 2024.-",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,25/04/2024,Decreto,DECRE-2024-469-SI-INTEN,"Expte. Nº 1949/2016.- Eximir a la Sra. María Inés Breton del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 356.369, para el período fiscal 2024.-",Eximición Tasa A.L. y S.G. 100%,
#1279,30/04/2024,25/04/2024,Decreto,DECRE-2024-470-SI-INTEN,"Expediente Nº 9721-2012 - Eximir al Sr. Juan Ruperto López del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 642.524, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 100%,
#1145,03/05/2024,26/04/2024,Decreto,DECRE-2024-475-SI-INTEN,"Expediente Nº 3294-2023 - Eximir a la Sra. Isabel Felisa Sánchez del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cincuenta por ciento (50%), respecto a la cuenta tributaria N° 394.171, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 50%,
#1145,03/05/2024,26/04/2024,Decreto,DECRE-2024-476-SI-INTEN,"Expediente Nº 171-2018 - Eximir al Sr. Julio Guillermo Talou del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cincuenta por ciento (50%), respecto a la cuenta tributaria N° 127.067, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 50%,
#1145,03/05/2024,26/04/2024,Decreto,DECRE-2024-477-SI-INTEN,"Expediente Nº 6449-2016 - Eximir al Sr. Juan José Anzaldo del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cincuenta por ciento (50%), respecto a la cuenta tributaria N° 695.223, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 50%,
#1145,03/05/2024,26/04/2024,Decreto,DECRE-2024-478-SI-INTEN,"Expediente Nº 119-2004 (Cuerpo 2) - Eximir al Sr. Gregorio Huanambal Gazco del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 372.206, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 100%,
#1145,03/05/2024,26/04/2024,Decreto,DECRE-2024-479-SI-INTEN,"Expediente Nº 4580-2009 (Cuerpo 2) - Eximir a la Sra. Francisca Carmen Andreoli del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 420.244, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 100%,
#1145,03/05/2024,26/04/2024,Decreto,DECRE-2024-480-SI-INTEN,"Expediente Nº 782-2016 - Eximir a la Sra. Antonia Carmen Mansilla del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 642.213, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 100%,
#1145,03/05/2024,26/04/2024,Decreto,DECRE-2024-481-SI-INTEN,"Expediente Nº 4277-2019 - Eximir a la Sra. Lelia Raquel Soloaga del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un veinticinco por ciento (25%), respecto a la cuenta tributaria N° 821.421, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 25%,
#1145,03/05/2024,26/04/2024,Decreto,DECRE-2024-482-SI-INTEN,"Expediente Nº 632-2024 - Eximir al Sr. Héctor Rubén Giménez del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 631.593, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 100%,
#1145,03/05/2024,26/04/2024,Decreto,DECRE-2024-483-SI-INTEN,"Expediente Nº 1232-2020 - Eximir a la Sra. Rosa Antonia Di Giovanni del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 362.354, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 100%,
#1145,03/05/2024,26/04/2024,Decreto,DECRE-2024-484-SI-INTEN,"Expediente Nº 11395-2009 (Cuerpo 2) - Eximir a la Sra. Nilma Norma Leonor Porte del pago de la Tasa por Alumbrado, Limpieza y Servicios Generales en un cien por ciento (100%), respecto a la cuenta tributaria N° 522.939, para el período fiscal 2024.",Eximición Tasa A.L. y S.G. 100%,
