recordNumber,recordDate,projectType,politicalParty,author,topic,parlState,commissionEntryDate,commissionReportDate,diasEnComision,subtheme
0046-2024-HCD,2024-03-11,ORD - Ordenanza,Bloque Unión X La Patria,Schuppisser Manuela,Presupuesto,Archivado,2024-03-21,2024-04-25,35,"ORDENANDO EL PAGO DE UNA BONIFICACIÓN ESPECIAL POR ÚNICA VEZ , A EMPLEADAS Y EMPLEADOS MUNICIPALES QUE PRESTEN SERVICIOS DURANTE EL FESTIVAL LOLLAPALOOZA.-"
0041-2024-HCD,2024-03-11,RES - Resolución,Bloque Unión X La Patria,Sarmiento Celia (mandato cumplido),Repudio,Archivado,2024-03-21,2024-03-27,6,EL H.C.D . EXPRESA SU REPUDIO AL ACTO DE VIOLENCIA SIMBÓLICA PERPETRADO POR EL PRESIDENTE JAVIER GERARDO MILEI HACIA LAS PERSONAS CON SINDROME DE DOWN.
0058-2024-HCD,2024-03-12,RES - Resolución,Bloque Unión X La Patria,Sarmiento Celia (mandato cumplido),Repudio,Archivado,2024-03-21,,916,EL H.C.D EXPRESA SU REPUDIO AL ACTO DE VIOLENCIA SIMBÓLICA PERPETRADO POR EL PRESIDENTE JAVIER MILEI HACIA EL GOBERNADOR DE CHUBUT.
0055-2024-HCD,2024-03-12,ORD - Ordenanza,Bloque Unión X La Patria,Bartolini Mateo (mandato cumplido),Pedido de informes,Archivado,2024-03-21,,916,"REMITIENDO A ESTE CUERPO, POR PARTE DEL DEPARTAMENTO EJECUTIVO, CERTIFICADOS DE LIBRE DEUDA DE ABL Y DE MULTAS MUNICIPALES DE TODOS LOS FUNCIONARIOS DEL MUNICIPIO."
0057-2024-HCD,2024-03-12,DEC - Decreto,Bloque Unión X La Patria,Sarmiento Celia (mandato cumplido),Honorable Concejo Deliberante,Archivado,2024-03-21,,916,MODIFICANDO LOS ARTÍCULOS N° 22 Y 45 DEL REGLAMENTO INTERNO DE ESTE H.C.D.
0059-2024-HCD,2024-03-12,DEC - Decreto,Bloque Unión X La Patria,Sarmiento Celia (mandato cumplido),Honorable Concejo Deliberante,En comisión,2024-03-21,,916,MODIFICANDO LOS ARTICULOS N° 22 Y 47 DEL REGLAMENTO INTERNO DE ESTE H.C.D.
0060-2024-HCD,2024-03-12,RES - Resolución,Bloque Unión X La Patria,Sarmiento Celia (mandato cumplido),Repudio,Sancionado,2024-03-21,2024-09-12,175,"EL H.C.D EXPRESA SU REPUDIO A LA PUBLICACIÓN QUE MENCIONA AL 12 DE OCTUBRE COMO ""LA CELEBRACIÓN DEL DESCUBRIMIENTO DE AMÉRICA""."
0066-2024-HCD,2024-03-13,ORD - Ordenanza,Bloque Unión X La Patria,Diaz Marcos,Tránsito,Archivado,2024-03-21,,916,ESTABLECIENDO MODIFICACIONES DE SENTIDOS DE CIRCULACIÓN EN DIVERSAS CALLES DEL PARTIDO.
0067-2024-HCD,2024-03-13,ORD - Ordenanza,Bloque Unión X La Patria,Sarmiento Celia (mandato cumplido),Declaración de Interes,Archivado,2024-03-21,,916,DECLARANDO DE INTERÉS LAS ACCIONES TENDIENTES A FACILITAR EL ACCESO A LA VIVIENDA MEDIANTE LOCACIÓN EN EL PARTIDO DE SAN ISIDRO.
0068-2024-HCD,2024-03-13,DEC - Decreto,Bloque Unión X La Patria,Sarmiento Celia (mandato cumplido),Honorable Concejo Deliberante,En comisión,2024-03-21,,916,MODIFICANDO LOS ARTICULOS N° 22 Y 43° DEL REGLAMENTO INTERNO DEL H.C.D.
0062-2024-HCD,2024-03-13,ORD - Ordenanza,Bloque Unión X La Patria,Diaz Marcos,Transporte,Sancionado,2024-03-21,2024-04-09,19,ESTABLECIENDO LOS FRENTES DE LAS INSTITUCIONES RELIGIOSAS COMO ZONAS DE ASCENSO Y DESCENSO DE PERSONAS.
0064-2024-HCD,2024-03-13,ORD - Ordenanza,Bloque Unión X La Patria,Diaz Marcos,Seguridad,Archivado,2024-03-21,2024-03-26,5,INSTALANDO CÁMARAS Y DOMOS DE VIGILANCIA DENTRO DEL BARRIO SAN ISIDRO.
0093-2024-HCD,2024-03-15,ORD - Ordenanza,Bloque Unión X La Patria,Diaz Marcos,Educación,Archivado,2024-03-21,,916,CREANDO EL CENTRO DE INTEGRACIÓN Y CUIDADOS INFANTILES (CICI) EN EL BARRIO LA CAVA.
0088-2024-HCD,2024-03-15,ORD - Ordenanza,Bloque Unión X La Patria,Schuppisser Manuela,Transporte,Archivado,2024-03-21,,916,"CREANDO EL ""SISTEMA INTEGRAL DE MOVILIDAD SUSTENTABLE"" (SIMS)"
0083-2024-HCD,2024-03-15,ORD - Ordenanza,Bloque Pro San Isidro,Martinez Gabriela (mandato cumplido),Otros,Archivado,2024-03-21,,916,REANUDANDO EL FUNCIONAMIENTO DE LA COMISIÓN PARA LA EVALUACIÓN DEL VÍNCULO ENTRE EL INSTITUTO OBRA MÉDICO ASISTENCIAL Y EL GOBIERNO DE SAN ISIDRO
0094-2024-HCD,2024-03-15,ORD - Ordenanza,Bloque Unión X La Patria,Diaz Marcos,Educación,Archivado,2024-03-21,,916,CREANDO EL PRIMER JARDÍN MATERNAL MUNICIPAL DE JORNADA EXTENDIDA EN LA CIUDAD DE BECCAR
0087-2024-HCD,2024-03-15,ORD - Ordenanza,La Libertad Avanza,Feldtmann Maria Ines,Seguridad,Archivado,2024-03-21,,916,"CREANDO EL PROGRAMA ""SISTEMA INTEGRADO PÚBLICO PRIVADO DE SEGURIDAD""."
0082-2024-HCD,2024-03-15,RES - Resolución,Bloque Pro San Isidro,Martinez Gabriela (mandato cumplido),Repudio,Archivado,2024-03-21,,916,"EL H.C.D. REPUDIA LAS AMENAZAS HACIA EL GOBERNADOR DE SANTA FE, MÁXIMILIANO PULLARO.-"
0080-2024-HCD,2024-03-15,RES - Resolución,Bloque Unión X La Patria,Schuppisser Manuela,Declaración de Interes,Archivado,2024-03-21,,916,"DECLARANDO DE INTERÉS MUNICIPAL LA ACTIVIDAD DENOMINADA ""SILUETAZO""."
0079-2024-HCD,2024-03-15,RES - Resolución,Bloque Unión X La Patria,Schuppisser Manuela,Declaración de Interes,Archivado,2024-03-21,,916,"DECLARANDO DE INTERÉS MUNICIPAL EL 24 DE MARZO COMO ""DIA DE LA MEMORIA, VERDAD Y LA JUSTICIA""."
0089-2024-HCD,2024-03-15,RES - Resolución,La Libertad Avanza,Feldtmann Maria Ines,Seguridad,Archivado,2024-03-21,2024-07-10,111,EL H.C.D. MANIFIESTA SU PREOCUPACIÓN POR EL AUMENTO Y LA GRAVEDAD DE LOS HECHOS DE INSEGURIDAD EN EL PARTIDO
0096-2024-HCD,2024-03-21,RES - Resolución,Bloque Convocación por San Isidro,Quintana Bernabe Durini,Seguridad,Archivado,2024-07-04,2024-07-10,6,EL H.C.D. EXPRESA SU PROFUNDA CONSTERNACIÓN ANTE EL LAMENTABLE ASESINATO DE JORGE DE MARCO.
0120-2024-HCD,2024-03-27,ORD - Ordenanza,Bloque Unión X La Patria,Schuppisser Manuela,Educación,Archivado,2024-04-08,,898,"CONFORMANDO UNA MESA DE TRABAJO CON EL OBJETIVO DE DEBATIR SOBRE LA APLICACIÓN DE LOS FONDOS RECIBIDOS PARA REFACCIONAR, ACONDICIONAR Y CONSTRUIR NUEVAS ESCUELAS."
0101-2024-HCD,2024-03-27,ORD - Ordenanza,Bloque Unión X La Patria,Sarmiento Celia (mandato cumplido),Parques y Plazas,Archivado,2024-04-08,,898,INSTALANDO UNA ESCULTURA CON LA IMAGEN DE CARLOS FUENTEALBA EN LA PLAZA MAESTRO SANTANA EN LA ROTONDA DE ACASSUSO
0122-2024-HCD,2024-03-27,RES - Resolución,Bloque Unión X La Patria,Schuppisser Manuela,Repudio,,2024-04-08,,898,EL H.C.D. MANIFIESTA SU REPUDIO Y PREOCUPACIÓN POR EL DESFINANCIAMIENTO DEL SISTEMA DE SALUD NACIONAL.
0114-2024-HCD,2024-03-27,ORD - Ordenanza,La Libertad Avanza,Debora Ruiz Ceballos,Discapacidad,Archivado,2024-04-08,,898,CREANDO EL CENTRO MUNICIPAL DE REHABILITACIÓN Y ESTIMULACIÓN PARA EL VECINO CON DISCAPACIDAD.
0103-2024-HCD,2024-03-27,RES - Resolución,Bloque Unión X La Patria,Schuppisser Manuela,Honorable Concejo Deliberante,Archivado,2024-04-08,,898,"EL H.C.D. MANIFIESTA SU PREOCUPACIÓN ANTE LAS ASEVERACIONES DEL SR. PRESIDENTE DE LA NACIÓN Y EL DIPUTADO NACIONAL JOSE LUIS ESPERT, POR LA CONVOCATORIA A UN ACTO DE ""REBELIÓN FISCAL"" EN LA PROVINCIA DE BS. AS."
0104-2024-HCD,2024-03-27,RES - Resolución,Bloque Unión X La Patria,Schuppisser Manuela,Repudio,Archivado,2024-04-08,,898,EL H.C.D. REPUDIA LOS DESPIDOS DE LOS TRABAJADORES DE LAS UNIDADES DE ATENCIÓN INTEGRAL (UDAI) DE BOULOGNE Y SAN ISIDRO.
0113-2024-HCD,2024-03-27,ORD - Ordenanza,La Libertad Avanza,Debora Ruiz Ceballos,Deportes,Archivado,2024-04-08,,898,CREANDO EL PROGRAMA DE ASISTENCIA AL DEPORTE INFANTIL
0124-2024-HCD,2024-03-27,ORD - Ordenanza,Bloque Unión X La Patria,Sarmiento Celia (mandato cumplido),Arbolado Público,Sancionado,2024-04-08,2024-12-09,245,"PRESERVANDO, CONSERVANDO Y RECUPERANDO INCREMENTANDO Y MEJORANDO EL ARBOLADO DEL DISTRITO."
0102-2024-HCD,2024-03-27,RES - Resolución,Bloque Unión X La Patria,Schuppisser Manuela,Repudio,Sancionado,2024-04-08,2024-09-12,157,"EL H.C.D. EXPRESA SU REPUDIO POR LA ELIMINACIÓN DE LA CELEBRACIÓN DEL ""20 DE NOVIEMBRE-DÍA DE LA SOBERANÍA NACIONAL""."
0121-2024-HCD,2024-03-27,RES - Resolución,Bloque Unión X La Patria,Schuppisser Manuela,Educación,Sancionado,2024-04-08,2024-05-23,45,EL H.C.D. EXPRESA SU PREOCUPACIÓN POR LA SITUACIÓN PRESUPUESTARIA QUE ATRAVIESAN LAS UNIVERSIDADES NACIONALES.
0125-2024-HCD,2024-03-27,ORD - Ordenanza,Bloque Unión X La Patria,Diaz Marcos,Transporte,Sancionado,2024-04-08,2024-04-23,15,"INCORPORANDO AL SISTEMA INTEGRAL DE MOVILIDAD SUSTENTABLE, LA COLOCACIÓN DE TÓTEMS DE INFLADO Y REPARACIÓN DE BICICLETAS EN PUNTOS ESTRATÉGICOS DEL MUNICIPIO."
0123-2024-HCD,2024-03-27,ORD - Ordenanza,Bloque Unión X La Patria,Diaz Marcos,Estacionamiento,Sancionado,2024-04-08,2024-04-23,15,"INCORPORANDO AL SISTEMA INTEGRAL DE MOVILIDAD SUSTENTABLE, ESTACIONAMIENTOS DE BICICLETAS, EN TODO EL TERRITORIO DEL MUNICIPIO."
00127-2024-HCD,2024-04-05,ORD - Ordenanza,Bloque Bloque FR - Unión X La Patria,Meca Federico,Salud Pública,Archivado,2024-04-08,,898,DECLARANDO LA EMERGENCIA MUNICIPAL SANITARIA POR DENGUE EN TODO EL PARTIDO DE SAN ISIDRO.
4105-2422-2024-C,2024-04-09,ORD - Ordenanza,Ejecutivo,Ejecutivo,Rendición de Cuentas,Sancionado,2024-04-08,2024-05-09,31,RENDICIÓN DE CUENTAS 2023
00136-2024-HCD,2024-04-11,ORD - Ordenanza,Bloque Bloque FR - Unión X La Patria,Rivadulla Estefania,Derechos Humanos y Género,Archivado,2024-04-18,,888,CREANDO EL PROGRAMA DE INSERCIÓN LABORAL PARA VÍCTIMAS DE VIOLENCIA DE GENERO.
00135-2024-HCD,2024-04-11,ORD - Ordenanza,Bloque Bloque FR - Unión X La Patria,Meca Federico,Zoonosis y Vectores,Archivado,2024-04-18,,888,ESTABLECIENDO LA NORMATIVA APLICABLE EN EL PARTIDO DE SAN ISIDRO A LA REGISTRACIÓN DE LA PROPIEDAD DE PERROS.
00140-2024-HCD,2024-04-11,ORD - Ordenanza,Bloque Unión X La Patria,Sarmiento Celia (mandato cumplido),Seguridad,Archivado,2024-04-18,,888,CREANDO EL OBSERVATORIO DE LA SEGURIDAD PUBLICA EN EL MUNICIPIO DE SAN ISIDRO.
00134-2024-HCD,2024-04-11,ORD - Ordenanza,Bloque Bloque FR - Unión X La Patria,Meca Federico,Zoonosis y Vectores,Archivado,2024-04-18,,888,CREANDO EL REGISTRO ÚNICO DE MASCOTAS EXTRAVIADAS DEL MUNICIPIO DE SAN ISIDRO
00141-2024-HCD,2024-04-11,RES - Resolución,Bloque Unión X La Patria,Schuppisser Manuela,Declaración de Interes,Archivado,2024-04-18,2024-04-25,7,"EL H.C.D DE SAN ISIDRO DECLARA DE INTERÉS EL PROGRAMA ""JUEGOS BONAERENSES 2024""."
00132-2024-HCD,2024-04-11,,Bloque Unión X La Patria,Schuppisser Manuela,Zoonosis y Vectores,Sancionado,2024-04-18,2024-04-23,5,S/ IMPLEMENTAR UN PROTOCOLO DE FUMIGACIÓN EN LAS INSTALACIONES DE LOS CLUBES DE BARRIOS Y CAMPOS DEPORTIVOS DEL DISTRITO.
00149-2024-HCD,2024-04-12,ORD - Ordenanza,Bloque Unión X La Patria,Sarmiento Celia (mandato cumplido),Adhesión,En comisión,2024-04-18,,888,"ADHIRIENDO A LA LEY PROVINCIAL N° 10.471. ""CARRERA PROFESIONAL HOSPITALARIA"""
00173-2024-HCD,2024-04-12,ORD - Ordenanza,Bloque Unión X La Patria,Diaz Marcos,Ordenanza,En comisión,2024-04-18,,888,CREANDO EL RÉGIMEN DE PROMOCIÓN INDUSTRIAL DE BIENES INTANGIBLES.
00146-2024-HCD,2024-04-12,RES - Resolución,Bloque Unión X La Patria,Schuppisser Manuela,Educación,En comisión,2024-04-18,,888,"EL H.C.D. EXPRESA SU PREOCUPACIÓN POR LOS DICHOS DEL PORTAVOZ PRESIDENCIAL, SOBRE EL PROYECTO QUE ENVIARÁ EL PODER EJECUTIVO CON REFORMAS DE LA LEY DE EDUCACIÓN NACIONAL."
00147-2024-HCD,2024-04-12,RES - Resolución,Bloque Unión X La Patria,Schuppisser Manuela,Educación,Archivado,2024-04-18,,888,EL H.C.D. EXPRESA SU PREOCUPACIÓN POR LOS DICHOS DEL DIPUTADO NACIONAL ALBERTO BENEGAS LYNCH.-
00179-2024-HCD,2024-04-12,DEC - Decreto,Bloque Unión X La Patria,Bartolini Mateo (mandato cumplido),Otros,Archivado,2024-04-18,,888,DISPONIENDO LA HABILITACIÓN DEL PATIO UBICADO EN LA PLANTA BAJA QUE CONECTA CON EL EDIFICIO HISTÓRICO MUNICIPAL PARA UTILIZARLO COMO ZONA DE DESCANSO Y ÁREA DE FUMADORES.
00157-2024-HCD,2024-04-12,ORD - Ordenanza,Bloque Unión X La Patria,Bartolini Mateo (mandato cumplido),Turismo,Archivado,2024-04-18,,888,CREANDO EL ENTE MIXTO DE TURISMO DE SAN ISIDRO.-
00178-2024-HCD,2024-04-12,ORD - Ordenanza,Bloque Unión X La Patria,Bartolini Mateo (mandato cumplido),Turismo,Sancionado,2024-04-18,2024-09-11,146,CREANDO UNA ESTRATEGIA DE TURISMO GASTRONÓMICO LOCAL
00164-2024-HCD,2024-04-12,RES - Resolución,La Libertad Avanza,Feldtmann Maria Ines,Declaración de Interes,Archivado,2024-04-18,2024-04-25,7,"EL H.C.D. DECLARA DE INTERÉS LA ""DIPLOMATURA EN CULTURA ARGENTINA"" DEL INSTITUTO DE CULTURA CUDES, QUE CELEBRA SU 10° ANIVERSARIO."
00172-2024-HCD,2024-04-12,RES - Resolución,Bloque Unión X La Patria,Schuppisser Manuela,Declaración de Interes,Sancionado,2024-04-18,2024-04-25,7,"EL H.C.D. DECLARA DE INTERÉS EL PROYECTO ""VOCES UNIDAS CONTRA EL BULLYING: UN PUENTE TRASOCEÁNICO DE HISTORIAS Y SOLUCIONES"" DEL CÍRCULO ITALIANO RAÍCES SARDAS BUENOS AIRES NORTE - SEDE SAN ISIDRO.-"
00155-2024-HCD,2024-04-12,RES - Resolución,Bloque Unión X La Patria,Bartolini Mateo (mandato cumplido),Declaración de Interes,Archivado,2024-04-18,2024-04-25,7,"EL H.C.D. DECLARA DE INTERÉS LA ONG ""ARTE Y ESPERANZA"""
00153-2024-HCD,2024-04-12,ORD - Ordenanza,Bloque Unión X La Patria,Bartolini Mateo (mandato cumplido),Parques y Plazas,Sancionado,2024-04-18,2024-04-23,5,"IMPLEMENTANDO UN PLAN DE URGENCIA PARA LA PUESTA EN VALOR DE LA RESERVA NATURAL MUNICIPAL ""REFUGIO EDUCATIVO DE LA RIBERA NORTE""."
00183-2024-HCD,2024-04-25,RES - Resolución,Bloque Unión X La Patria,Diaz Marcos,Repudio,Archivado,2024-05-03,,873,EL H.C.D. REPUDIA EL DESMEDIDO Y VIOLENTO ACCIONAR POLICIAL CONTRA UN VENDEDOR AMBULANTE EN EL CENTRO DE SAN ISIDRO
00193-2024-HCD,2024-04-25,RES - Resolución,Bloque Unión X La Patria,Schuppisser Manuela,Declaración,Archivado,2024-05-03,,873,"DECLARANDO EL 02 DE MAYO DE CADA AÑO COMO EL ""DÍA MUNICIPAL DE LUCHA CONTRA EL ACOSO ESCOLAR"".-"
00197-2024-HCD,2024-04-25,DEC - Decreto,Bloque Unión X La Patria,Bartolini Mateo (mandato cumplido),Pedido de informes,Archivado,2024-05-03,,873,CONVOCANDO AL DEPARTAMENTO EJECUTIVO PARA QUE POR INTERMEDIO DE LA JEFATURA DE GABINETE BRINDE UN AMPLIO INFORME EN RELACIÓN A LOS PRIMEROS SEIS MESES DE GESTIÓN AL HCD.
00196-2024-HCD,2024-04-25,ORD - Ordenanza,Bloque Bloque FR - Unión X La Patria,Rivadulla Estefania,Arbolado Público,Archivado,2024-05-03,,873,PLANTACIÓN DE ÁRBOLES EN ACERAS
00191-2024-HCD,2024-04-25,ORD - Ordenanza,Bloque Pro San Isidro,Martinez Gabriela (mandato cumplido),ORDENANZA FISCAL,Sancionado,2024-05-03,2024-06-13,41,"PUBLICANDO EL EL DETALLE DE LOS BENEFICIOS Y EXENCIONES VIGENTES EN LA ORDENANZA FISCAL PARA LAS PERSONAS CON DISCAPACIDAD, EN EL MENÚ CORRESPONDIENTE AL PORTAL WEB DE LA AGENCIA DE RECAUDACIÓN DE SAN ISIDRO."
00188-2024-HCD,2024-04-25,RES - Resolución,Bloque Pro San Isidro,Martinez Gabriela (mandato cumplido),Repudio,Archivado,2024-05-03,2024-05-23,20,EL H.C.D. EXPRESA SU REPUDIO A LA INEFICIENTE PROTECCIÓN DE NIÑOS Y JÓVENES FRENTE A LAS ACTIVIDADES DE JUEGOS DE APUESTAS ONLINE Y A LA FALTA DE RESPONSABILIDAD DEL ESTADO Y LAS EMPRESAS GENERADORAS.
00187-2024-HCD,2024-04-25,ORD - Ordenanza,Bloque Unión X La Patria,Schuppisser Manuela,Derechos Humanos y Género,Sancionado,2024-05-03,2024-05-20,17,"APLICANDO LAS CAPACITACIONES EN RELACIÓN A LO ESTABLECIDO POR ""LEY MICAELA BONAERENSE N° 15.134"
00202-2024-HCD,2024-04-25,DEC - Decreto,Bloque Unión X La Patria,Schuppisser Manuela,Derechos Humanos y Género,Sancionado,2024-05-03,2024-05-20,17,"APLICANDO LAS CAPACITACIONES EN RELACIÓN A LO ESTABLECIDO POR ""LEY MICAELA BONAERENSE N° 15.134"""
00205-2024-HCD,2024-04-26,ORD - Ordenanza,Bloque Unión X La Patria,Schuppisser Manuela,Educación,Archivado,2024-05-03,,873,"CREANDO EL ""PROGRAMA MUNICIPAL DE CONCIENTIZACIÓN, PREVENCIÓN E INFORMACIÓN SOBRE ACOSO ESCOLAR"".-"
