fecha,puntaje,tienda,app,gestion,texto
2025-03-02,1,Google Play,Boton Panico San Isidro (ar.com.soflex.panico.san_isidro),actual,No puedo registrarme ya que nunca me envían el código de verificación.
2025-02-21,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,Horrible
2025-01-27,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,Malísima. No obtuve respuesta de ningún reclamo. Mejor intentar con otras vías de comunicación. Y para información también. Muy mala.
2025-01-22,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,Imposible acceder a mi historial de salud antes en portal de salud era facilismo lo q funciona no debería tomarse
2025-01-20,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,"Pónganle voluntad! Quiero crear usuario, y me dice, que estoy registrado. Pongo mis datos y me dice que no estoy registrado. Mande email y nunca me respondieron. Con la fortuna que cobran de impuestos, deberían hacer algo medio pelo al menos, no está basura"
2024-11-14,2,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,Necesita una opción para denunciar cuando ocupan terrenos por beccar
2024-10-29,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,No están bien cargadas las luminarias. No pude hacer el reclamo
2024-10-07,2,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,Malisima. No contestan. No dan información del reclamo
2024-08-26,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,Me gusta la actualización que hicieron!
2024-07-19,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,No te deja crear usuario. Esta aplicación no funciona. En el Municipio te dicen que las denuncias se hacen por este medio. Alguien que me de alguna solución alternativa. Gracias
2024-07-18,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,"Un desastre, no anda"
2024-07-13,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,No Anda
2024-06-28,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,No anda!
2024-06-27,2,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,"24/6 se actualizó pero ingreso el 27/6 se cierra la app . Es muy importante que funcione y así el vecino pueda hacer llegar los distintos reportes que sucedan. Un árbol que se está por caer hay que sacarlo ya, no sirve que lo vean una o dos o tres semanas después. Gracias"
2024-06-26,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,No funcionan los reportes!!! Funcionaba perfecto en la era Posse.
2024-06-23,2,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,"No se pueden ver los reclamos escritos. Porque no habilitan consultar lo que uno escribió? Pasan años y meses y los reclamos siguen en Revision: aunque eso no tiene nada que ver con la App, da muy pocas ganas de seguir usándola.... no se sabe quien tomó en cuenta el reclamo, ni se puede ver un hilo de conversación. El último que hice quedó en estado "" no enviado "" por un error técnico. Luego se reenvía automáticamente. Eso nunca sucedió. Tengo q volver a redactar todo otra vez... malisimo"
2024-06-15,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,"No funciona, esta como el municipio."
2024-05-06,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,Hace varios días que no funciona.
2024-04-30,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,"Antes funcionaba muy bien, ahora no se puede reportar nada porq falla la app. Q pasa? Tiene q ver el cambio de gestión, tal vez?"
2024-04-17,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,El mejor municipio.
2024-04-11,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,Me piden csña para registrarme y al no tenerla no puedo registrarme. QUÉ ES ÉSTO? UNA BROMA?)
2024-04-07,3,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,Últimamente cada vez que quiero hacer una denuncia se cierra la aplicación. Y hay juegos rotos en la mitad de las plazas.
2024-03-25,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,Out of order
2024-03-13,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,Pesima app. Digna del municipio. Queres hacer un reporte y se cuelga. Hice reclamos x todos lados
2024-02-07,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,Que sucede con la app? No funciona nada! Entras a las opciones y cuando querés hacer el reporte se cierra. Media pila por favor! No voy a subir las estrellas hasta que funcione correctamente.
2024-02-04,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,"No funciona, se cuelga al gestionar la ubicación"
2023-11-02,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"Funciona pésimo, no toma los reportes, se cierra sola. Empezó a funcionar mal casualmente en estas últimas semanas previo a los cambios de gestión."
2023-07-10,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,No funciona. No reconoce mis datos. Me dice que no existe info y cuando voy a crear usuario dice que ya existo. No funciona. No funciona el blanqueo de usuarios y claves
2023-06-03,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Nunca manda el mail para recupero de contraseña.
2023-05-29,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Realize una queja y no responden las calles del bajo boulogne una desastre los pozos y no la arreglan
2022-12-28,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,No sé puede
2022-11-23,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"Totalmente inútil, tiene limitadas las opciones de reclamo, sino redirige a wp o teléfono fijo. Me la desinstale, si quiero llamar por teléfono, miro en la página del municipio y llamo, totalmente obsoleta la app."
2022-11-13,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,No me deja ingresar me dice que la contraseña es s incorrecta. Restablezca y el mail ya está registrado
2022-10-20,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"Desastre, como todo lo que hacen estos parásitos, solo complica todo aún más"
2022-10-14,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"Falla, se cierra sola. Imposible cargar reclamos"
2022-07-20,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"Ahora no aparecen los puntos que indican los postes en el mapa. Aparte de eso, faltan opciones de reclamos como habia anteriormente en la web. Parece que no escuchan los reclamos sobre el mal funcionamiento de la app."
2022-07-07,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Nunca me pude registrar. No mandaron el código ni pude resetear los datos para volver a poner mi teléfono. Un verdadero desastre
2022-06-16,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"Nunca puedo hacer reclamos y desde que cambié de equipo de celular, no puedo entrar a la app. Malísima 🤬"
2022-05-26,3,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Cuesta entrar si uno no se acuerda contraseña
2022-05-19,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,No te permite registrarme. Pones el número de verificación y no te lo toma nunca... Me cansé de probar
2022-05-16,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"Desastre! Ni Obras Públicas,ni Reclamos,ni Patrulla Municipal, ni SubSecretaria de O Públicas. Apenas Defensa Civil vino a chusmear y que la pandemia,que no hay Licitaciones,falta q digan que la Guerra. Tengo la vereda detonada,si me hubiesen dicho de un principio. Arreglesé Ud. (Ya el árbol no existe más) Ahora se destrozó la acometida de AySA por esa vereda y eso que estoy en Acassuso (a pocas c.del Glorioso Palacio Municipal)."
2022-05-08,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"Realizas el registro, te envían el código de verificación lo copias y sale la leyenda ERROR !!!!!"
2022-04-24,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,No sirve. Todo el tiempo dice no se pudo registrar. Una pena..
2022-04-02,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"No hay manera de registrarse, no siempre manda el código de verificación y cuando lo hace da error y no registra el usuario... el que programo esto se podría dedicar a otra cosa... capaz le va mejor"
2022-04-02,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Como casi todo en San Isidro no funciona. No manda código de verificación. Lo único que sabe hacer bien la municipalidad de San Isidro es cobrar cada vez mas impuestos.
2022-03-30,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"Mala muy mala ,piden verificar mí celular y nunca piden en número en la solicitud de registro .dicen después no se verifica ese número"
2022-03-25,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,No deja abrir incidentes dice que lea dirección de mi casa no corresponde al párroco de San Isidro
2022-03-24,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Qué desastre! A pesar de que ubica la dirección pone que no pertenece al municipio. Cómo puedo iniciar un reporte si me dice que no vivo en el distrito? Cuánta guita del contribuyente tirada al tacho!
2022-03-24,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"Dice que estoy registrada ya y no me permite utilizarla ,ya que no reconoce mis correos ni claves anteriores. Una cosa inútil que ya desinstalo inmediatamente"
2022-02-17,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,intentar reportar un incidente sobre la recolección de residuos y que salga un cartel que diga que están fuera del municipio de San Isidro es de décima. Dónde contratan a estos programadores. Tengo captura de pantalla. Vergüenza.
2022-01-28,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Nunca me mandaron el código para registrarme!!!
2022-01-20,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"Increíble Enero 2022, no me envía el sms para terminar de registrarme, y leo muchísimos comentarios desde hace años diciendo lo mismo!! Mi marido reportando semáforo roto o luminaria apagada, le dice que está fuera del partido!! Desastre!! Ya desinstalo!"
2022-01-20,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"Dice que está fuera del área de san isidro, pero para cobrarnos los impuestos si somos de san isidro, una vergüenza, para ellos san isidro es solo el centro de San isidro, manga de ladrones"
2022-01-17,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"En mi opinión funciona muy bien, hice un reclamo de luminaria led y lo resolvieron a los dos dias."
2022-01-06,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"Otra aplicación desastrosa. Cuál es la aplicación de la municipalidad de San Isidro, Buenos Aires, Argentina?"
2022-01-04,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"Muy mal servicio , no incluye las zonas del partido además del centro de san isidro ."
2021-12-19,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,No me toma la direccion me dice fuera del municipio. Una bosta
2021-12-13,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"Nunca envia el codigo de registro, ademas de redireccionar la conexion del telefono hacia la descarga externa. El contenido que intenta descargar es bloqueado por el antivirus."
2021-12-10,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,No permite hacer los trámites por que cuando le pones la ubicación de Boulogne por ejemplo dice q no pertenece al partido
2021-11-30,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,No funciona.
2021-11-25,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,No anda... Así se gastan millones de pesos para una aplicación que no funciona. Una vergüenza. Partido de San Isidro. A ver si alguien del municipio se pone media pila y hace algo. Ni está ni la otra app de San Isidro anda para generar reportes.una verdadera chotada.
2021-11-18,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"Solo pude ingresar una vez y no me permitió hacer nada, pones una dirección de Boulogne y dice que no pertenece al municipio de Villa Adelina tampoco. Malisima! Luego no me deja volver a ingresar a la app dice q esta mal mi mail"
2021-11-13,2,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Dejo de funcionar. Se reinicia cuando cargas la foto para el reporte.
2021-07-17,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Un desastre! Posse dedícate a otra cosa
2021-06-20,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,LO QUIERO TENER ..
2021-05-20,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Muy buena
2021-03-26,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,No me es posible crear cuenta ya q no me llega el sms con el código de confirmación
2021-03-01,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Sumo una nueva mala calificación. Acabo de instalar la aplicación porque el Municipio no responde emails ni atiende por teléfono ( en particular el área de Espacio Público) y además sugieren en el contestador automático que los contribuyentes del Municipio utilicemos la app para realizar gestiones. Sugiero que si quieren canalizar todo por esta vía primero se ocupen de mejorar la aplicación. Nunca pude ingresar a la app. No reconoce la contraseña. La blanqueo y nunca llega el email con la nueva
2021-02-10,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,super rapida la respuesta a mi revlamo
2020-12-17,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"Me quede sinbateria en el hospital central de San Isidro ,vine a biscar ami marido que le dan el alta ,por favorno se podra mandar a alguien queme ayude"
2020-10-01,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,No te notican por mail sino por sms u tenes que empezar de nuevo y si te envian el sms
2020-09-27,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"no me llega el código, pesima atención."
2020-08-12,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Me dice que no me encuentro en san isidro y estoy en pleno san isidro. no me deja hacer ningún tipo de reclamo o emergencia.
2020-08-06,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,No funciona el mapa para hacer reclamos!
2020-07-01,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,No funciona cuando queres registrarte no te manda el codigo por sms
2020-06-29,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"No pude realizar un reclamo a espacios publicos acerca de la basura, y desde el telefono de reclamos me pide que la eleve por la aplicacion"
2020-06-27,2,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"No reconoce mi contaseña en la app, si en la pag de san isidro, no me deja entrar"
2020-05-30,2,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"Hace horas que quiero terminar de instalarlo en mi celular, indica discrepancias entre mi mail contraseña y no es posible avanzar"
2020-05-23,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"No se puede hacer el registro de nuevo usuario, da error en la validación con SMS."
2020-05-02,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,No me permite registrarme me dice error
2020-05-02,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Excelente!
2020-05-01,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,No me permite registrarme
2020-04-26,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"No es posible el registro. Envían código en sms para verificar nro de celular, y cuando se coloca, da constante error."
2020-04-23,2,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Tuve que reinstalar la aplicación y ahora no me reconoce mail y contraseña
2020-04-13,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Hace varios dias que intento y no te permite registrarte
2020-04-12,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,No puedo ingresar se bloquea. Saludos
2020-03-28,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Excelente!
2020-03-22,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"Mala, esta ulta actualización no abre la aplicación 22-03-20"
2020-03-22,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Muy práctica y sencilla de usar
2020-03-22,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Cada vez que la quiero usar dice la up se detuvo . No me sirve
2020-03-21,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,No está funcionando !!!! No abre App
2020-03-21,3,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Estaría bueno que podamos denunciar autos abandonados en la vía pública.
2020-02-06,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,estaria bueno q pongan telefonos utiles cmo el hospital o el basurero
2020-01-31,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Buenísimo
2019-11-08,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,No se puede recuperar la cuenta
2019-10-30,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Excelente
2019-10-29,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Buena
2019-10-26,3,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,No tiene la opción de calificar restaurantes por condiciones de higiene
2019-10-20,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Pongo usuario y contraseña y se cierra. Todo mal hecho. Bien al estilo San Isidro. Lo voy a desinstalar.
2019-10-06,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Pongo usuario y contraseña y la aplicación se cierra. No se puede usar
2019-09-10,4,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"Si llega el código en Tuenti, buena aplicación. Suena raro que dejen reportar postes pero no podas ni veredas rotas. Si la quieren hacer completa deberían incluirlo. No estaría mal unificar otros servicios como historial médico, etc."
2019-07-30,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"No anda ni para atras, como el municipio!!!"
2019-07-29,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"Redmi note 7, se cierra al loguearse."
2019-07-26,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,nunca me llega el mensaje con el código tengo tuenti a ver si arreglan eso sino de que sirve. si para los que tenemos tuenti no funciona
2019-07-26,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,No me llega la clave
2019-06-28,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"Es una muy buena APP, las dos veces que la utilice tuve respuesta inmediata."
2019-06-22,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,buenisimo
2019-06-09,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,wacho el mejor juego battle royal del mundo men mate a 50 personas y me mande tremendas kills atropelle a 35 y de un heatshot mate a 15 persona Lo malo son los graficos mejoren eso men
2019-06-04,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"buenos días..la tuve que desinstalar ya que al querer ingresar con mi correo y contraseña, sale de la app automáticamente. y pide mandar informe. cuando lo solicionen la re instalo . gracias"
2019-06-03,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Jamas me llega el mensaje de texto con el código. Probe con 54 9 11 y con 54 11 varias veces. Tengo Tuenti.
2019-05-29,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,no pude bajar la aplicacion porque me pide un número de código que no tengo
2019-05-29,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"No pude instalar, mi mail me lo rechaza diciendo que no corresponde a una cuenta válida."
2019-05-26,3,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Gracias por su ayuda ya lo pude instalar!!! tengo muchas quejas por mal estacionamiento lo puedo hacer por acá y subir fotos?? Gracias
2019-05-16,4,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,No se puede enviar videos.
2019-05-07,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,mala maaaaaalaaa
2019-05-04,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Hola no puedo instalar la aplicación me dice que el mail y la contraseña son incorrectos y no es así
2019-04-30,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Muy buena. Rapida y sencilla
2019-04-29,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,una perdida.de tiempo.no me deja entrar
2019-04-29,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,No me permite registrarme
2019-04-27,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,muy buena me gustaría que incorporaran la parte de alumbrado público ya que en estos momentos y siempre es importante
2019-04-27,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,hola la bajé y es excelente sigan actualizando una consulta mi vieja vive en Martínez y yo en lanus oeste el botón anti pánico sirve para la localidad de lanus gracias !!!!
2019-04-26,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"Facil, práctico y sencillo. Muy buena"
2019-04-26,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,es útil
2019-04-25,2,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,imposible registrarse
2019-04-25,4,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Acabo de instalarla sin ningún problema! Para darle la máxima calificación deberé probarla.
2019-04-25,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,muy bueno! GRACIAS
2019-04-25,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,me encanta me siento más segura sabiendo que tocando un botón. estoy segura mil gracias. María luisa Agüero
2019-04-25,4,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"Vamos a probarla, el telefono lo tienen que poner como en el wap (54 911......) veo que muchos tienen inconvenientes"
2019-04-24,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Ahora sí! registro rapido y una app muy fácil de usar!
2019-04-24,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Excelente!
2019-04-24,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Muy buena la app!! Felicitaciones!!!
2019-04-24,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Siendo 24/04 intento fallido de instalación! siguen testeando? SMS no llega.
2019-04-24,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Una aplicación simple y sencilla al servicio del vecino!
2019-04-24,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Excelente
2019-04-23,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Muy buena aplicación. Práctica y amigable. Fácil de usar
